,#flickr_photo_id,category,beauty_scores
103,3206913459,people,"4,4,5,5,4"
104,270891582,nature,"3,4,4,4,3,3,3,3,3,3"
105,3968570948,nature,"3,4,4,3,4,4,4,4,3,3"
106,2695574268,nature,"3,4,4,3,4"
107,8501548403,people,"4,4,3,4,4"
108,7549861774,urban,"3,2,2,3,2"
109,2316515687,nature,"4,4,3,4,4"
110,3685998412,animals,"4,5,4,4,5,5"
111,6976747066,urban,"4,4,4,3,3"
112,5786562473,urban,"4,3,4,4,3,3"
113,5503230420,people,"3,3,3,3,4"
114,7183124013,urban,"4,3,3,4,3"
115,6086549325,people,"4,4,4,3,3"
116,3597245880,people,"3,3,3,3,3"
117,5322735081,urban,"5,4,5,5,4,4,4"
118,4197903211,nature,"3,3,3,3,3"
119,8123471319,nature,"5,3,5,3,3,4,4,5,5,5,3,5,5,4,4"
120,5949188051,urban,"2,2,2,2,2"
121,5436178945,nature,"4,4,3,3,4"
122,5963782255,animals,"4,4,5,4,4,4,4,3,4,5"
123,5554585920,animals,"5,5,5,4,4"
124,5351940424,animals,"3,4,4,4,5"
125,3676048099,animals,"4,4,4,3,3"
126,7235632264,people,"2,2,2,2,2"
127,5351229928,people,"3,3,3,3,3"
128,4274272461,urban,"3,4,4,3,4"
129,494059057,people,"3,2,3,4,4"
130,6903422852,nature,"3,3,3,4,4"
131,2908750431,urban,"3,3,3,3,4"
132,1147029586,nature,"4,4,2,3,3"
133,126509990,animals,"3,3,3,2,3,3"
134,3415154223,animals,"4,3,3,3,3"
135,4463278677,urban,"4,2,3,3,4,3"
136,8026712898,nature,"4,3,4,3,3"
137,3189771450,animals,"3,4,3,3,3,3,3,3,3,4"
138,5969791519,urban,"3,3,3,3,3"
139,3579996242,animals,"3,3,3,3,4"
140,5287988668,urban,"2,3,4,3,3"
141,4548759929,animals,"4,3,4,3,3"
142,6256050082,animals,"4,3,3,4,4"
143,35769005,nature,"3,3,3,4,3,3,3,4,4,3"
144,6189841456,animals,"4,3,4,3,3"
145,7340411,animals,"4,4,3,3,3,3,3,4,3,3"
146,4943609306,nature,"3,3,4,3,4"
147,8155322757,nature,"3,3,3,2,3"
148,2801071835,nature,"2,3,3,3,3"
149,5024072585,animals,"4,4,4,4,3"
150,3367215684,nature,"3,3,3,3,3"
151,6039304438,people,"3,3,3,3,3"
152,7187615943,urban,"3,3,3,4,3,3,4,3,3,3"
153,3287881998,nature,"5,3,4,4,3"
154,7932891184,nature,"3,3,3,2,2"
155,6392658271,people,"3,4,4,4,3"
156,8181129093,people,"5,3,4,4,3"
157,4673958530,animals,"4,4,4,4,4"
158,3754811880,nature,"3,2,3,2,3"
159,2384478345,animals,"4,4,4,4,4"
160,6934008906,people,"5,3,4,4,3"
161,7473769978,urban,"3,3,2,5,3,4"
162,8086562485,people,"4,4,3,4,4"
163,6811881921,urban,"4,4,5,5,5,5,4,5,4,4,4"
164,515889466,nature,"2,2,2,2,2,2,2,2,2,2"
165,2127013985,nature,"3,4,3,4,4"
166,5481480425,people,"2,2,2,2,3"
167,6232017429,animals,"3,4,5,3,4,4,4,3,3,4"
168,351176568,urban,"4,3,4,3,3"
169,6927472693,nature,"4,2,3,3,3"
170,7117723993,people,"3,3,3,3,2"
171,6337663345,nature,"3,3,3,3,3"
172,4688790209,nature,"2,2,2,2,3"
173,4961821549,nature,"3,3,2,3,3"
174,4969957439,nature,"3,3,3,3,3"
175,5381687922,nature,"3,3,4,3,4"
176,7062991333,nature,"3,3,3,3,3"
177,4085733067,nature,"4,4,3,3,3"
178,7746612288,animals,"3,2,3,2,3,3"
179,7563129630,people,"4,4,4,3,4"
180,3751402986,urban,"3,4,3,3,5,2,3,3,3,4"
181,39281386,nature,"3,3,3,2,4,3,3,3,3,3"
182,7969277370,urban,"3,3,3,3,3,3,3,3,3,3"
183,4970681991,nature,"3,2,2,2,3"
184,2722353070,people,"4,4,4,3,4"
185,3478318349,people,"3,4,4,4,4"
186,2548545238,nature,"4,3,5,3,3"
187,8483917052,people,"3,3,3,4,5"
188,6142427579,nature,"3,3,3,3,3"
189,3964851604,urban,"3,3,3,2,3"
190,5057927639,urban,"3,3,3,3,3"
191,4610893925,people,"3,3,4,3,4"
192,5208532605,urban,"2,4,5,4,4,1,1,5,5,4"
193,8069925295,people,"4,3,4,4,4"
194,6382679681,nature,"3,3,3,3,3"
195,10445544,urban,"3,3,3,3,3,4,3,3,3,4"
196,6783228083,people,"3,3,3,4,4"
197,5049256137,urban,"4,5,5,4,4"
198,6311965305,nature,"3,4,3,3,3"
199,8063373614,urban,"3,4,2,3,3"
200,6982302493,people,"4,3,3,4,3"
201,5871384792,animals,"3,2,2,2,2"
202,4142836106,animals,"4,3,5,4,4"
203,7250975178,people,"2,2,2,1,3"
204,141809526,urban,"3,3,3,3,3"
205,5970969019,urban,"3,3,3,3,3"
206,199745615,urban,"4,3,3,4,3"
207,3777417916,animals,"4,4,5,4,4"
208,2654873676,urban,"4,3,3,3,4"
209,1907944597,animals,"5,5,4,4,3"
210,7316099766,urban,"3,3,3,3,3"
211,7815640680,animals,"3,3,3,3,3"
212,63529070,urban,"3,3,2,3,2,2"
213,6943235775,nature,"4,3,3,4,3"
214,2390510954,animals,"3,3,3,4,3,3"
215,5705443946,people,"4,3,3,3,3"
216,1361530486,nature,"3,3,3,3,4"
217,3012057424,animals,"3,4,3,3,3"
218,6685235701,urban,"3,4,3,2,3"
219,3447472566,nature,"3,3,3,3,3"
220,4315117023,nature,"4,3,5,5,5"
221,4196240547,urban,"4,2,3,4,3"
222,77204586,nature,"3,3,3,3,3"
223,537754895,animals,"3,3,3,3,4"
224,6038881753,people,"3,3,3,3,3"
225,8432019276,nature,"4,3,2,4,4"
226,5219956034,urban,"3,3,3,3,2"
227,15975916,people,"2,2,3,3,3,3,2,3,2,2"
228,7829551238,nature,"3,4,3,3,3"
229,6887737714,animals,"4,3,3,4,3"
230,4146974494,urban,"4,5,3,5,4"
231,5921182860,nature,"4,3,4,3,3"
232,4656707004,people,"3,4,3,4,4"
233,4272681463,nature,"3,4,4,3,3"
234,3586182951,animals,"4,3,4,4,5"
235,4215256817,urban,"3,3,3,3,3"
236,2615648289,urban,"3,4,4,4,4"
237,4704138203,animals,"4,4,5,4,3"
238,7525640086,urban,"3,2,3,4,4,4"
239,2646584912,nature,"3,4,4,3,3,4,4,5,4,3"
240,4891632313,animals,"3,3,3,3,3,3,3,4,3,3,3"
241,2323561760,people,"4,4,4,4,3"
242,3590886325,animals,"5,5,4,3,5"
243,54890460,urban,"2,3,3,3,3,3"
244,4081036390,nature,"3,4,3,5,3"
245,5922421521,people,"3,3,3,3,3"
246,7083520869,nature,"3,3,3,2,3"
247,1118039845,animals,"3,3,3,4,3"
248,4993073210,people,"3,3,3,4,3"
249,63098401,nature,"3,4,4,3,3"
250,3148616588,urban,"3,3,3,4,4"
251,2644522266,animals,"3,3,3,4,5"
252,6039796653,animals,"3,3,3,2,4"
253,2705638602,animals,"4,4,3,5,5"
254,4301015022,nature,"3,4,3,3,3"
255,8430862389,animals,"4,5,5,5,5"
256,7477047150,people,"4,4,4,4,5"
257,7869666412,people,"4,3,3,3,4"
258,5527478515,urban,"4,4,5,4,3"
259,183045168,nature,"3,4,3,3,4"
260,6731190303,urban,"3,3,4,3,3"
261,5802331431,nature,"2,5,3,3,3"
262,6834104888,nature,"3,3,3,2,3,3"
263,7862381272,nature,"3,3,3,3,3"
264,3015795490,urban,"3,3,3,3,3"
265,3019939782,nature,"3,3,3,3,4,3,3,4,3,4"
266,5462226045,urban,"4,3,4,5,4,4,4,3,4,4"
267,5352883333,urban,"5,4,4,5,3,4,4,4,3,4"
268,7390248942,urban,"3,4,3,3,3"
269,8197696184,animals,"4,3,5,3,4,4,4"
270,2200581990,urban,"4,3,3,3,3"
271,343167590,nature,"5,5,5,3,5,1,5,5,5,1"
272,7682333686,nature,"3,2,3,3,2"
273,2258547835,nature,"3,3,4,3,4,4,3,3,3,4,3,4,3,3,3"
274,7000597748,urban,"3,3,3,4,4"
275,4369464384,animals,"3,3,3,3,3,3"
276,6821789513,animals,"5,5,5,5,5"
277,96673752,animals,"3,4,5,2,3,4"
278,6656759343,urban,"2,3,3,4,4"
279,3097108745,nature,"3,3,2,3,5,2,2,2,4,4"
280,5487847236,urban,"3,4,4,5,4,4,3,3,3,3,3"
281,4792421986,urban,"4,4,4,4,3"
282,3353558421,nature,"3,3,3,4,3"
283,2089241032,urban,"4,4,5,4,4"
284,513537698,animals,"4,4,4,4,4"
285,7053182355,animals,"4,4,4,4,4"
286,3413592125,people,"3,3,3,2,3"
287,8326144391,nature,"4,4,5,3,5,5,4,3,5,4"
288,5146853003,animals,"4,5,4,4,4"
289,5972327106,animals,"3,3,4,2,4"
290,4821511245,animals,"4,5,4,4,3"
291,4125645478,people,"2,2,3,2,2"
292,6772983966,urban,"3,3,3,4,3,3"
293,8082772233,animals,"4,4,4,3,4"
294,7635175472,urban,"4,3,4,4,4,4,3,4,4,3,4"
295,4908458465,urban,"4,3,4,5,5"
296,4983323227,urban,"3,3,3,3,4"
297,1253295088,animals,"2,3,3,2,2,2"
298,3719550174,people,"3,4,4,4,4,4,4,4,4,4"
299,5387244665,nature,"3,3,3,3,3"
300,6887452255,people,"3,3,3,3,3"
301,4943136749,urban,"3,3,3,3,3"
302,2641575923,animals,"3,3,3,3,3"
303,6062625947,animals,"3,4,4,4,2,3,4,4,3,3"
304,319540952,animals,"3,3,3,3,3"
305,7866673858,animals,"3,3,3,3,3,3,3"
306,5341562695,people,"3,4,4,4,4,4,4,4,5,4"
307,8225358927,nature,"3,3,3,3,3"
308,3100177074,nature,"3,4,3,3,3"
309,2250263137,people,"2,2,2,2,2"
310,4574299329,animals,"3,3,3,4,2,2"
311,2478396682,nature,"4,5,4,3,3"
312,5656445995,animals,"4,5,4,5,4"
313,5483865380,animals,"3,3,3,3,3"
314,8272709830,urban,"4,3,4,3,3,5,3,4,3,4"
315,4070979574,nature,"2,3,2,2,3"
316,3468717396,animals,"5,4,4,4,3"
317,954037067,nature,"3,3,3,3,3"
318,4277689378,animals,"4,3,5,4,4,5,4"
319,3776461882,people,"5,5,4,4,3"
320,5689089914,nature,"3,3,3,3,3"
321,7307460534,people,"4,4,4,4,4"
322,7346813900,people,"3,3,3,3,4"
323,6999960716,nature,"3,3,3,5,4,5,3,4,3,4"
324,5450601450,urban,"5,3,2,3,4,3,4,4,3,2"
325,5188350865,nature,"3,3,3,3,3"
326,6000273791,urban,"4,4,5,4,4"
327,4539578780,animals,"3,4,4,4,4"
328,34817031,urban,"3,4,4,4,3"
329,2695061798,people,"2,3,3,3,3"
330,3334945197,nature,"3,4,5,2,4"
331,6273190854,people,"3,3,3,3,3"
332,4808353089,animals,"3,3,3,3,3,3,3,3,3,3,3"
333,6388453479,animals,"3,3,3,3,3"
334,8037238470,nature,"2,3,3,3,3,3,3,3,3,3"
335,4014072416,nature,"3,3,3,3,4"
336,4277075066,urban,"4,5,5,5,5,5,5,5,5,5"
337,4648326084,nature,"2,3,2,2,3"
338,1429656242,people,"4,4,3,4,4"
339,5048717114,people,"3,3,4,3,4"
340,6071619574,people,"5,5,5,5,5"
341,6864451482,animals,"3,3,2,3,3"
342,8346545798,animals,"3,4,3,4,3,4,3"
343,7567719470,nature,"2,4,2,1,2,5,4,4,1,2"
344,3781362117,urban,"3,3,4,3,1,4"
345,8244609826,nature,"2,2,2,2,2,3,2,3,2,2,2,2,4,2,2"
346,7673337672,animals,"4,4,5,4,3,5,4,4,4,4,4"
347,4000463997,nature,"3,3,3,4,4,4,4,4,3,3"
348,144072834,animals,"3,3,3,3,3"
349,2309916202,nature,"3,4,3,3,3"
350,6490390583,urban,"3,2,3,3,3"
351,5639076986,nature,"3,3,4,3,4"
352,6307476495,urban,"4,3,3,3,3"
353,4234929054,nature,"4,3,3,4,5,4"
354,494059827,people,"4,4,3,4,4"
355,2413057204,animals,"5,4,5,4,5,5,4,4,4,5,5"
356,112909824,nature,"3,3,3,3,4,4,3,4,3,2"
357,8469903388,people,"2,3,3,3,4"
358,4595264050,people,"4,4,4,3,5"
359,5112204010,people,"5,4,5,4,4"
360,1805615841,nature,"3,3,3,4,3"
361,7388528078,nature,"4,3,3,4,3"
362,434079258,animals,"2,3,3,3,2"
363,6171927833,people,"4,3,3,4,3"
364,2411953130,people,"3,3,3,3,3"
365,4525271413,nature,"3,3,3,3,2"
366,5786223890,nature,"3,2,2,2,2"
367,2707475985,nature,"3,3,3,3,3"
368,6474316955,urban,"3,3,3,3,3"
369,4073549168,nature,"3,3,3,3,3"
370,6209454208,animals,"4,4,5,4,5"
371,3052721125,animals,"3,3,3,4,3"
372,2514788818,people,"3,3,3,2,2"
373,7840287202,nature,"3,3,3,3,3"
374,7877157342,nature,"3,4,4,4,4"
375,4141351368,animals,"3,3,3,3,3,3"
376,46822616,nature,"3,3,4,3,2"
377,443052074,nature,"3,3,3,3,3"
378,8030695595,animals,"3,4,3,3,3"
379,8474269749,nature,"2,2,2,3,2"
380,3905510590,nature,"3,3,3,3,4"
381,7384335414,nature,"3,4,4,2,2"
382,7863857580,urban,"4,5,4,4,3,4"
383,5377352222,people,"2,3,3,2,2"
384,2840619443,nature,"2,4,4,4,4"
385,5112350892,people,"3,3,3,4,4"
386,4978287129,people,"3,3,3,3,2"
387,5452431614,urban,"3,3,3,3,3"
388,1188311124,urban,"3,3,3,3,2,2,3"
389,65227810,people,"3,3,2,3,3"
390,4161630490,nature,"3,3,3,3,3"
391,2526088617,nature,"3,3,4,3,3"
392,4248006213,animals,"2,2,2,3,2,2,4,3,3,3"
393,5521708887,people,"3,4,3,3,3"
394,4080030563,animals,"2,4,3,3,3"
395,3766738708,nature,"3,4,3,3,3"
396,7990678419,animals,"3,4,4,3,4,3,5"
397,162232458,nature,"3,3,3,4,3"
398,1897597630,urban,"4,4,2,4,4"
399,5404284130,urban,"2,2,3,3,2"
400,5069643588,urban,"3,4,3,3,4"
401,2575008871,urban,"4,3,3,3,3"
402,3229529590,nature,"2,4,3,3,3"
403,3417060122,nature,"3,3,3,3,3"
404,6447813791,people,"4,4,4,4,4"
405,3063566547,urban,"5,4,4,4,4,4,4,5,5,4"
406,2423728293,nature,"3,3,3,3,4"
407,6275285863,nature,"2,4,4,3,3"
408,6816402853,urban,"3,3,3,2,3,2,3,3,3,3,2"
409,4193839526,urban,"3,3,2,3,3"
410,991802486,nature,"3,4,3,3,3"
411,6091152942,animals,"3,3,2,3,3"
412,2247415251,nature,"3,4,4,4,4,4,4,4,4,3"
413,3330521310,animals,"3,2,3,3,3"
414,7153417143,urban,"3,2,3,3,2,4,2"
415,4717467249,urban,"3,3,3,4,3"
416,7744691640,animals,"3,4,3,4,4"
417,6266576672,urban,"3,2,2,2,3,2,2,3,2,2,3"
418,1445985156,nature,"4,4,4,3,4,4,4,3,4,4"
419,6942909542,animals,"4,5,4,4,4"
420,143973992,nature,"4,3,3,4,4"
421,5857682887,people,"3,3,4,3,3"
422,4163135046,urban,"3,2,3,2,3"
423,5969351544,nature,"2,3,3,3,3"
424,6046222486,people,"4,4,3,3,3"
425,630008218,nature,"3,3,3,3,4,4,4,3,3,4"
426,6337568879,nature,"2,2,2,2,1"
427,2618105663,people,"3,3,3,2,3,3,3,3,2,2"
428,5579947012,urban,"4,3,3,3,3"
429,6953057698,nature,"2,5,4,1,4,3,2,2,2,2"
430,7437945108,people,"3,3,3,3,3"
431,2358751472,animals,"4,4,3,3,4"
432,6848789182,animals,"3,2,2,2,2"
433,4417716285,animals,"3,3,3,3,3,3,4,3,3,3"
434,6951616814,nature,"4,3,3,4,3"
435,2267704242,urban,"3,3,3,3,3"
436,2497635845,people,"4,3,3,3,4"
437,2516852425,urban,"3,3,3,3,3"
438,3452603293,nature,"3,3,3,3,4"
439,2667154926,nature,"3,4,4,4,4"
440,4893433769,nature,"3,3,4,2,3"
441,1409068748,animals,"3,4,3,3,3,3"
442,376095841,people,"3,3,3,3,3"
443,8162628295,nature,"3,4,4,2,3"
444,524543530,nature,"4,4,3,4,3,4,5,5,4,3"
445,114627919,people,"4,4,4,5,4"
446,4316038515,urban,"3,3,3,2,3,3,3,3,3,3"
447,117555679,urban,"3,3,3,3,3,3"
448,2087100213,animals,"3,5,3,3,3,3"
449,1502768903,people,"1,2,1,1,1"
450,8109813002,nature,"3,4,5,4,4"
451,320107128,people,"2,2,2,2,2"
452,2691067001,nature,"3,3,3,3,3"
453,8373252391,urban,"3,4,4,2,3"
454,8200271873,people,"3,3,3,3,3"
455,5341084642,people,"3,3,3,3,3,2,3,3,3,3"
456,8403971560,urban,"3,3,3,3,2"
457,198517360,nature,"3,3,4,4,2"
458,5084374907,nature,"3,4,3,3,3"
459,4319292994,urban,"3,3,3,3,3"
460,2458372027,nature,"3,3,4,3,4"
461,430678969,animals,"3,3,3,3,3,3"
462,4885812800,urban,"3,4,2,4,4"
463,5346871247,people,"2,3,3,2,2"
464,8125183148,people,"3,4,3,5,4"
465,6810054865,urban,"3,3,4,5,3"
466,1020363098,people,"2,3,3,3,4"
467,1399114679,animals,"2,2,3,2,4"
468,3442428015,nature,"3,3,5,4,3"
469,3528855757,animals,"5,4,4,4,4,4,4"
470,5960443038,people,"2,2,2,2,2"
471,3561557557,nature,"4,4,4,3,5"
472,6406307271,urban,"4,5,3,4,4"
473,579761138,animals,"3,3,3,3,4"
474,6918037903,people,"3,3,4,4,4"
475,3727797808,animals,"4,4,2,4,4"
476,2710768356,nature,"3,3,3,3,3"
477,7379579190,people,"4,3,4,4,5"
478,5721278601,nature,"2,3,2,2,2"
479,7735154514,animals,"4,4,4,5,4"
480,3535879220,nature,"3,3,3,3,3"
481,7476911570,people,"4,4,3,4,3"
482,1554666625,animals,"3,3,4,3,3"
483,5328693397,people,"3,4,4,4,3"
484,8497162109,urban,"3,3,3,3,3"
485,5425559472,urban,"3,4,4,3,3,4,3,4,4,3"
486,8240865763,animals,"4,4,3,4,5"
487,3318096347,people,"2,2,2,3,2"
488,4103104594,urban,"4,4,5,4,5,5,4,4,4,4"
489,4638283383,people,"3,5,3,3,2"
490,5484672276,nature,"4,4,4,3,3"
491,5969873800,urban,"2,4,4,4,4"
492,4808170872,nature,"4,4,5,4,4"
493,5179163035,urban,"4,4,4,3,3,2,3"
494,5627550373,people,"2,4,3,3,3"
495,5151282654,people,"3,3,3,2,4"
496,645634360,nature,"5,4,5,4,4"
497,3351030648,animals,"3,3,3,3,4,3"
498,3741780996,urban,"3,3,4,3,3,4,2"
499,6460859771,urban,"3,3,3,4,3,3,3,3,4,3,3,3"
500,6982836011,animals,"4,4,4,4,4,4,3,5,4,4"
501,7439427324,urban,"2,3,3,3,3"
502,1204848819,nature,"3,3,3,3,3,3,3,3,3,3"
503,3365084242,people,"3,3,3,3,3"
504,3939304635,people,"4,3,3,3,3"
505,2550190869,nature,"4,3,3,5,4"
506,7296510374,animals,"5,4,4,4,4"
507,4523295017,nature,"3,5,4,4,3,3,3,4,5,3"
508,5403550431,nature,"5,4,5,4,4"
509,966221237,animals,"4,4,4,4,3"
510,5851572850,nature,"3,3,3,3,3"
511,800846687,nature,"3,3,3,5,3"
512,4118235735,nature,"3,3,3,3,3"
513,7815295878,animals,"3,3,5,3,4,4"
514,6192275186,urban,"2,4,3,4,4"
515,8483754857,urban,"2,2,2,3,2,3"
516,230641126,nature,"4,4,3,5,4"
517,5432896420,nature,"4,4,4,4,3"
518,5583612297,animals,"3,3,3,3,4"
519,2836216725,people,"4,2,2,1,3"
520,63155120,nature,"3,2,3,3,3"
521,5591556278,nature,"2,3,2,4,3"
522,3644873912,animals,"4,3,4,4,3,4,3,3,2,4,3"
523,3631180339,animals,"3,4,4,3,3,4"
524,252924842,animals,"3,4,4,5,4"
525,4524580145,urban,"4,4,4,5,4"
526,4961055513,nature,"3,2,5,3,5"
527,6736249831,people,"2,3,2,2,3,2,2,2,3,2"
528,28216246,animals,"3,3,3,3,3,2"
529,179767060,nature,"3,3,3,3,3"
530,502587682,nature,"3,3,3,4,3"
531,4645918131,animals,"4,3,4,3,5,4,3,5,5,3"
532,6822005770,nature,"3,3,3,5,5"
533,4085691055,nature,"2,4,4,2,5"
534,7501502000,people,"4,3,3,4,4"
535,2060710977,people,"3,3,3,3,3"
536,3273395338,nature,"3,4,3,3,3"
537,8262992322,animals,"3,4,4,4,4"
538,4951282970,urban,"3,3,2,2,3,3,2"
539,8327028212,people,"5,4,5,4,3,5,4,4,3,3"
540,5215724534,people,"3,3,3,2,3"
541,3264104085,animals,"3,4,3,4,3"
542,6967920914,nature,"4,5,4,4,5"
543,5512058612,urban,"2,2,3,3,2"
544,6619054603,people,"4,4,3,3,3"
545,4815490761,urban,"4,3,3,3,3"
546,3067241283,nature,"3,4,4,3,5"
547,3643148390,people,"3,3,3,3,3,3,3,3,3,3"
548,7074721033,nature,"4,3,4,3,5"
549,3222035439,animals,"3,3,3,3,3"
550,3331519862,nature,"3,3,3,3,3,3,3,4,4,2"
551,2350197061,nature,"2,3,4,3,3"
552,6162789479,animals,"2,3,2,3,2"
553,8502933557,animals,"3,3,4,3,3"
554,2698857122,people,"2,3,2,2,2,2,2,2,2,2"
555,4559004485,nature,"4,3,3,4,4,3,3,4,4,4"
556,211075301,animals,"3,3,3,3,3"
557,4757600253,urban,"3,3,3,3,4"
558,3290566659,urban,"4,3,4,4,3"
559,3625938287,nature,"4,3,4,4,2"
560,4871866974,urban,"4,4,4,4,3"
561,2115228185,animals,"4,4,4,3,4,4,3,5,5,4,4"
562,6042148368,nature,"3,3,3,3,3"
563,4794147031,urban,"4,3,2,4,3"
564,3927931023,nature,"3,3,3,4,3"
565,949332789,nature,"3,3,2,2,3"
566,5209209374,urban,"3,3,3,3,3,3,3,3,3,3,3"
567,103126528,animals,"3,3,2,4,3,3"
568,493838036,animals,"3,4,3,3,4"
569,4639980914,nature,"3,2,3,3,3"
570,6626209577,people,"3,4,5,4,3,1,3,5,5,4"
571,4767754248,nature,"3,3,2,4,3,3,3,3,3,3"
572,4982696068,nature,"3,3,3,3,3"
573,4650502543,nature,"3,2,3,2,3"
574,2741990218,nature,"3,4,3,3,3"
575,5706788511,urban,"3,3,3,3,3,4,3,3,3,3"
576,2942328206,nature,"3,3,3,4,3"
577,5724156652,nature,"3,3,3,3,3"
578,142250042,nature,"3,3,3,3,3"
579,3582497430,nature,"4,5,5,5,5,4,5,5,5,4"
580,2584608629,animals,"3,4,3,3,3,3"
581,6342648025,urban,"3,3,3,3,3"
582,383090897,nature,"2,4,3,3,3"
583,7399876138,people,"4,4,4,5,3"
584,55859329,animals,"2,4,3,3,4"
585,154911633,nature,"3,3,4,3,3"
586,4826978430,urban,"3,3,3,3,3,3"
587,4208842555,nature,"3,3,3,3,3"
588,3078684430,urban,"3,2,4,3,3,4"
589,6873008373,urban,"3,3,3,3,3"
590,111023917,nature,"3,3,3,3,3"
591,3970152866,animals,"4,5,4,3,4"
592,2061248987,animals,"5,4,4,4,4"
593,2236261882,animals,"3,4,3,4,3,4"
