#flickr_photo_id	category	beauty_scores
148771151	animals	4,4,5,3,4,3,3,4,4,4
7187615943	urban	3,3,3,4,3,3,4,3,3,3
1417339255	nature	4,3,3,3,3
3287881998	nature	5,3,4,4,3
7932891184	nature	3,3,3,2,2
6392658271	people	3,4,4,4,3
8181129093	people	5,3,4,4,3
4673958530	animals	4,4,4,4,4
3754811880	nature	3,2,3,2,3
4409176808	nature	3,3,3,3,3,4,2,3,3,3
1527155736	nature	3,3,3,4,3
2384478345	animals	4,4,4,4,4
6934008906	people	5,3,4,4,3
7473769978	urban	3,3,2,5,3,4
8086562485	people	4,4,3,4,4
6811881921	urban	4,4,5,5,5,5,4,5,4,4,4
515889466	nature	2,2,2,2,2,2,2,2,2,2
2466634232	people	3,3,3,3,3,3,3,3,4,3
2127013985	nature	3,4,3,4,4
5481480425	people	2,2,2,2,3
6232017429	animals	3,4,5,3,4,4,4,3,3,4
7877549612	people	4,3,5,3,3
351176568	urban	4,3,4,3,3
6927472693	nature	4,2,3,3,3
7117723993	people	3,3,3,3,2
6337663345	nature	3,3,3,3,3
4688790209	nature	2,2,2,2,3
4961821549	nature	3,3,2,3,3
4969957439	nature	3,3,3,3,3
779731595	urban	3,3,4,3,3
5381687922	nature	3,3,4,3,4
7062991333	nature	3,3,3,3,3
4085733067	nature	4,4,3,3,3
7746612288	animals	3,2,3,2,3,3
7563129630	people	4,4,4,3,4
3751402986	urban	3,4,3,3,5,2,3,3,3,4
39281386	nature	3,3,3,2,4,3,3,3,3,3
7969277370	urban	3,3,3,3,3,3,3,3,3,3
4970681991	nature	3,2,2,2,3
2722353070	people	4,4,4,3,4
3478318349	people	3,4,4,4,4
2548545238	nature	4,3,5,3,3
8483917052	people	3,3,3,4,5
6142427579	nature	3,3,3,3,3
3964851604	urban	3,3,3,2,3
5057927639	urban	3,3,3,3,3
4510206185	animals	4,4,4,5,3
4610893925	people	3,3,4,3,4
5208532605	urban	2,4,5,4,4,1,1,5,5,4
8069925295	people	4,3,4,4,4
6382679681	nature	3,3,3,3,3
10445544	urban	3,3,3,3,3,4,3,3,3,4
6783228083	people	3,3,3,4,4
5049256137	urban	4,5,5,4,4
6311965305	nature	3,4,3,3,3
3338170166	people	4,4,4,3,3
8063373614	urban	3,4,2,3,3
2931280663	nature	3,3,3,3,4,3,3,3,3,4
6982302493	people	4,3,3,4,3
5871384792	animals	3,2,2,2,2
4142836106	animals	4,3,5,4,4
7250975178	people	2,2,2,1,3
141809526	urban	3,3,3,3,3
5970969019	urban	3,3,3,3,3
8243614715	urban	3,3,3,3,3
199745615	urban	4,3,3,4,3
6982851585	people	3,3,3,3,3
2055499151	nature	3,3,4,4,3
3777417916	animals	4,4,5,4,4
2654873676	urban	4,3,3,3,4
1907944597	animals	5,5,4,4,3
7316099766	urban	3,3,3,3,3
7815640680	animals	3,3,3,3,3
63529070	urban	3,3,2,3,2,2
6943235775	nature	4,3,3,4,3
2390510954	animals	3,3,3,4,3,3
5705443946	people	4,3,3,3,3
1361530486	nature	3,3,3,3,4
3012057424	animals	3,4,3,3,3
7805788840	nature	3,4,4,4,4
6917251026	people	4,4,5,4,4
6685235701	urban	3,4,3,2,3
3447472566	nature	3,3,3,3,3
4315117023	nature	4,3,5,5,5
4196240547	urban	4,2,3,4,3
77204586	nature	3,3,3,3,3
537754895	animals	3,3,3,3,4
6038881753	people	3,3,3,3,3
8432019276	nature	4,3,2,4,4
5219956034	urban	3,3,3,3,2
15975916	people	2,2,3,3,3,3,2,3,2,2
7829551238	nature	3,4,3,3,3
6887737714	animals	4,3,3,4,3
4146974494	urban	4,5,3,5,4
5921182860	nature	4,3,4,3,3
4656707004	people	3,4,3,4,4
4272681463	nature	3,4,4,3,3
3586182951	animals	4,3,4,4,5
3585290483	nature	3,2,3,3,3
4215256817	urban	3,3,3,3,3
7023443087	urban	3,3,3,4,3,3,3,3,3,3,4
2615648289	urban	3,4,4,4,4
3477451900	urban	3,3,3,4,3,3
4704138203	animals	4,4,5,4,3
7525640086	urban	3,2,3,4,4,4
2646584912	nature	3,4,4,3,3,4,4,5,4,3
4891632313	animals	3,3,3,3,3,3,3,4,3,3,3
2323561760	people	4,4,4,4,3
3590886325	animals	5,5,4,3,5
54890460	urban	2,3,3,3,3,3
4081036390	nature	3,4,3,5,3
3043725239	urban	3,3,3,3,3
5922421521	people	3,3,3,3,3
7083520869	nature	3,3,3,2,3
1118039845	animals	3,3,3,4,3
4993073210	people	3,3,3,4,3
63098401	nature	3,4,4,3,3
3148616588	urban	3,3,3,4,4
2644522266	animals	3,3,3,4,5
6039796653	animals	3,3,3,2,4
5383497264	urban	4,4,5,4,5,4
2705638602	animals	4,4,3,5,5
4301015022	nature	3,4,3,3,3
8430862389	animals	4,5,5,5,5
7477047150	people	4,4,4,4,5
7869666412	people	4,3,3,3,4
5527478515	urban	4,4,5,4,3
183045168	nature	3,4,3,3,4
6731190303	urban	3,3,4,3,3
5802331431	nature	2,5,3,3,3
6834104888	nature	3,3,3,2,3,3
7862381272	nature	3,3,3,3,3
3015795490	urban	3,3,3,3,3
3019939782	nature	3,3,3,3,4,3,3,4,3,4
5462226045	urban	4,3,4,5,4,4,4,3,4,4
5352883333	urban	5,4,4,5,3,4,4,4,3,4
7390248942	urban	3,4,3,3,3
8197696184	animals	4,3,5,3,4,4,4
2200581990	urban	4,3,3,3,3
343167590	nature	5,5,5,3,5,1,5,5,5,1
7682333686	nature	3,2,3,3,2
2258547835	nature	3,3,4,3,4,4,3,3,3,4,3,4,3,3,3
7000597748	urban	3,3,3,4,4
8317392009	urban	3,3,3,3,4,3
4369464384	animals	3,3,3,3,3,3
6821789513	animals	5,5,5,5,5
96673752	animals	3,4,5,2,3,4
6656759343	urban	2,3,3,4,4
3097108745	nature	3,3,2,3,5,2,2,2,4,4
5487847236	urban	3,4,4,5,4,4,3,3,3,3,3
5365683322	nature	4,3,3,4,3,4,3,3,4,4
4792421986	urban	4,4,4,4,3
3353558421	nature	3,3,3,4,3
2089241032	urban	4,4,5,4,4
513537698	animals	4,4,4,4,4
7053182355	animals	4,4,4,4,4
8365921905	people	4,4,4,5,3
3413592125	people	3,3,3,2,3
6051275230	nature	3,3,3,3,4,4,4,3,3,4
8326144391	nature	4,4,5,3,5,5,4,3,5,4
5146853003	animals	4,5,4,4,4
5972327106	animals	3,3,4,2,4
4821511245	animals	4,5,4,4,3
4125645478	people	2,2,3,2,2
6772983966	urban	3,3,3,4,3,3
8082772233	animals	4,4,4,3,4
7635175472	urban	4,3,4,4,4,4,3,4,4,3,4
7657499878	people	3,3,3,3,3,3,3,3,3,3
4908458465	urban	4,3,4,5,5
4591506570	nature	3,3,2,3,3
4983323227	urban	3,3,3,3,4
1253295088	animals	2,3,3,2,2,2
3719550174	people	3,4,4,4,4,4,4,4,4,4
5387244665	nature	3,3,3,3,3
6887452255	people	3,3,3,3,3
4943136749	urban	3,3,3,3,3
2641575923	animals	3,3,3,3,3
6062625947	animals	3,4,4,4,2,3,4,4,3,3
319540952	animals	3,3,3,3,3
7866673858	animals	3,3,3,3,3,3,3
5341562695	people	3,4,4,4,4,4,4,4,5,4
8225358927	nature	3,3,3,3,3
3100177074	nature	3,4,3,3,3
2250263137	people	2,2,2,2,2
2715574134	animals	3,3,4,3,4,3
4574299329	animals	3,3,3,4,2,2
2478396682	nature	4,5,4,3,3
5656445995	animals	4,5,4,5,4
5483865380	animals	3,3,3,3,3
8272709830	urban	4,3,4,3,3,5,3,4,3,4
4070979574	nature	2,3,2,2,3
3468717396	animals	5,4,4,4,3
954037067	nature	3,3,3,3,3
4277689378	animals	4,3,5,4,4,5,4
3776461882	people	5,5,4,4,3
5689089914	nature	3,3,3,3,3
7307460534	people	4,4,4,4,4
7346813900	people	3,3,3,3,4
6999960716	nature	3,3,3,5,4,5,3,4,3,4
5450601450	urban	5,3,2,3,4,3,4,4,3,2
5188350865	nature	3,3,3,3,3
6000273791	urban	4,4,5,4,4
4539578780	animals	3,4,4,4,4
34817031	urban	3,4,4,4,3
2695061798	people	2,3,3,3,3
3334945197	nature	3,4,5,2,4
6273190854	people	3,3,3,3,3
4808353089	animals	3,3,3,3,3,3,3,3,3,3,3
6388453479	animals	3,3,3,3,3
8037238470	nature	2,3,3,3,3,3,3,3,3,3
4014072416	nature	3,3,3,3,4
4277075066	urban	4,5,5,5,5,5,5,5,5,5
4648326084	nature	2,3,2,2,3
1429656242	people	4,4,3,4,4
5048717114	people	3,3,4,3,4
6071619574	people	5,5,5,5,5
6864451482	animals	3,3,2,3,3
5848100129	nature	3,3,3,3,4
8346545798	animals	3,4,3,4,3,4,3
7567719470	nature	2,4,2,1,2,5,4,4,1,2
3781362117	urban	3,3,4,3,1,4
3564321448	nature	3,3,3,3,3
1540223057	urban	3,4,3,3,3
8244609826	nature	2,2,2,2,2,3,2,3,2,2,2,2,4,2,2
7673337672	animals	4,4,5,4,3,5,4,4,4,4,4
4000463997	nature	3,3,3,4,4,4,4,4,3,3
144072834	animals	3,3,3,3,3
7838218238	urban	3,3,3,4,3
2309916202	nature	3,4,3,3,3
6490390583	urban	3,2,3,3,3
5639076986	nature	3,3,4,3,4
6307476495	urban	4,3,3,3,3
4234929054	nature	4,3,3,4,5,4
494059827	people	4,4,3,4,4
2413057204	animals	5,4,5,4,5,5,4,4,4,5,5
8208574271	urban	3,4,3,3,3,3,3,3,3,3,3
112909824	nature	3,3,3,3,4,4,3,4,3,2
8469903388	people	2,3,3,3,4
4595264050	people	4,4,4,3,5
5112204010	people	5,4,5,4,4
1805615841	nature	3,3,3,4,3
7388528078	nature	4,3,3,4,3
434079258	animals	2,3,3,3,2
6171927833	people	4,3,3,4,3
2411953130	people	3,3,3,3,3
4525271413	nature	3,3,3,3,2
5786223890	nature	3,2,2,2,2
2707475985	nature	3,3,3,3,3
6474316955	urban	3,3,3,3,3
4073549168	nature	3,3,3,3,3
6209454208	animals	4,4,5,4,5
3052721125	animals	3,3,3,4,3
2514788818	people	3,3,3,2,2
7840287202	nature	3,3,3,3,3
7877157342	nature	3,4,4,4,4
4141351368	animals	3,3,3,3,3,3
46822616	nature	3,3,4,3,2
443052074	nature	3,3,3,3,3
2101433618	urban	3,2,3,3,3
8030695595	animals	3,4,3,3,3
8474269749	nature	2,2,2,3,2
3905510590	nature	3,3,3,3,4
5908688689	people	3,3,3,4,3
7384335414	nature	3,4,4,2,2
7863857580	urban	4,5,4,4,3,4
5377352222	people	2,3,3,2,2
8157259539	urban	3,3,3,3,3
2840619443	nature	2,4,4,4,4
5112350892	people	3,3,3,4,4
4978287129	people	3,3,3,3,2
5452431614	urban	3,3,3,3,3
1188311124	urban	3,3,3,3,2,2,3
65227810	people	3,3,2,3,3
4161630490	nature	3,3,3,3,3
2526088617	nature	3,3,4,3,3
4248006213	animals	2,2,2,3,2,2,4,3,3,3
5521708887	people	3,4,3,3,3
4080030563	animals	2,4,3,3,3
3766738708	nature	3,4,3,3,3
7990678419	animals	3,4,4,3,4,3,5
162232458	nature	3,3,3,4,3
1897597630	urban	4,4,2,4,4
399392315	nature	3,3,4,5,3,3,3,4,4,3
5580439475	urban	3,3,3,3,4,3
5404284130	urban	2,2,3,3,2
5069643588	urban	3,4,3,3,4
2575008871	urban	4,3,3,3,3
3229529590	nature	2,4,3,3,3
3417060122	nature	3,3,3,3,3
4673940652	people	4,2,4,4,3
6447813791	people	4,4,4,4,4
3063566547	urban	5,4,4,4,4,4,4,5,5,4
2423728293	nature	3,3,3,3,4
6275285863	nature	2,4,4,3,3
6816402853	urban	3,3,3,2,3,2,3,3,3,3,2
4193839526	urban	3,3,2,3,3
991802486	nature	3,4,3,3,3
6091152942	animals	3,3,2,3,3
2247415251	nature	3,4,4,4,4,4,4,4,4,3
3330521310	animals	3,2,3,3,3
2401094923	animals	2,3,2,2,2
7153417143	urban	3,2,3,3,2,4,2
4717467249	urban	3,3,3,4,3
7744691640	animals	3,4,3,4,4
6266576672	urban	3,2,2,2,3,2,2,3,2,2,3
1445985156	nature	4,4,4,3,4,4,4,3,4,4
144002360	animals	3,3,4,4,3,3
6942909542	animals	4,5,4,4,4
143973992	nature	4,3,3,4,4
5857682887	people	3,3,4,3,3
4163135046	urban	3,2,3,2,3
5969351544	nature	2,3,3,3,3
6046222486	people	4,4,3,3,3
630008218	nature	3,3,3,3,4,4,4,3,3,4
6337568879	nature	2,2,2,2,1
2618105663	people	3,3,3,2,3,3,3,3,2,2
5579947012	urban	4,3,3,3,3
6953057698	nature	2,5,4,1,4,3,2,2,2,2
7552924984	animals	3,4,4,3,3,4
5016227365	urban	3,3,3,3,3,3,3,3,3,3
7437945108	people	3,3,3,3,3
2358751472	animals	4,4,3,3,4
6848789182	animals	3,2,2,2,2
7199076946	people	4,3,3,3,4
4417716285	animals	3,3,3,3,3,3,4,3,3,3
6951616814	nature	4,3,3,4,3
2267704242	urban	3,3,3,3,3
2497635845	people	4,3,3,3,4
2516852425	urban	3,3,3,3,3
7462924386	nature	3,3,4,3,3
3452603293	nature	3,3,3,3,4
2667154926	nature	3,4,4,4,4
8127455861	people	4,3,3,3,3
4893433769	nature	3,3,4,2,3
7187297678	animals	4,4,3,3,3
1409068748	animals	3,4,3,3,3,3
376095841	people	3,3,3,3,3
8162628295	nature	3,4,4,2,3
524543530	nature	4,4,3,4,3,4,5,5,4,3
114627919	people	4,4,4,5,4
4316038515	urban	3,3,3,2,3,3,3,3,3,3
117555679	urban	3,3,3,3,3,3
2087100213	animals	3,5,3,3,3,3
1502768903	people	1,2,1,1,1
8109813002	nature	3,4,5,4,4
320107128	people	2,2,2,2,2
2691067001	nature	3,3,3,3,3
8373252391	urban	3,4,4,2,3
8200271873	people	3,3,3,3,3
5341084642	people	3,3,3,3,3,2,3,3,3,3
8403971560	urban	3,3,3,3,2
198517360	nature	3,3,4,4,2
5084374907	nature	3,4,3,3,3
4319292994	urban	3,3,3,3,3
2458372027	nature	3,3,4,3,4
430678969	animals	3,3,3,3,3,3
4885812800	urban	3,4,2,4,4
5346871247	people	2,3,3,2,2
8125183148	people	3,4,3,5,4
6810054865	urban	3,3,4,5,3
1020363098	people	2,3,3,3,4
1399114679	animals	2,2,3,2,4
3442428015	nature	3,3,5,4,3
5214217768	people	3,3,3,3,3
5460871107	urban	3,3,3,3,3,3,3,2,2,3
3528855757	animals	5,4,4,4,4,4,4
5960443038	people	2,2,2,2,2
8006717544	urban	3,3,3,3,3,3
3561557557	nature	4,4,4,3,5
6406307271	urban	4,5,3,4,4
579761138	animals	3,3,3,3,4
6918037903	people	3,3,4,4,4
3727797808	animals	4,4,2,4,4
2710768356	nature	3,3,3,3,3
7379579190	people	4,3,4,4,5
5721278601	nature	2,3,2,2,2
7735154514	animals	4,4,4,5,4
3535879220	nature	3,3,3,3,3
7476911570	people	4,4,3,4,3
1554666625	animals	3,3,4,3,3
5328693397	people	3,4,4,4,3
8497162109	urban	3,3,3,3,3
5425559472	urban	3,4,4,3,3,4,3,4,4,3
8240865763	animals	4,4,3,4,5
3318096347	people	2,2,2,3,2
4103104594	urban	4,4,5,4,5,5,4,4,4,4
4638283383	people	3,5,3,3,2
5484672276	nature	4,4,4,3,3
5969873800	urban	2,4,4,4,4
5087984300	nature	3,3,3,3,4
4808170872	nature	4,4,5,4,4
5936792536	people	4,4,4,4,4,4,4,4,3,4
5179163035	urban	4,4,4,3,3,2,3
5627550373	people	2,4,3,3,3
1383774333	animals	4,3,4,3,4
5151282654	people	3,3,3,2,4
645634360	nature	5,4,5,4,4
3351030648	animals	3,3,3,3,4,3
3741780996	urban	3,3,4,3,3,4,2
6460859771	urban	3,3,3,4,3,3,3,3,4,3,3,3
6982836011	animals	4,4,4,4,4,4,3,5,4,4
7439427324	urban	2,3,3,3,3
1204848819	nature	3,3,3,3,3,3,3,3,3,3
3365084242	people	3,3,3,3,3
3939304635	people	4,3,3,3,3
2550190869	nature	4,3,3,5,4
7296510374	animals	5,4,4,4,4
4523295017	nature	3,5,4,4,3,3,3,4,5,3
5403550431	nature	5,4,5,4,4
966221237	animals	4,4,4,4,3
2654424594	animals	3,4,4,3,3
5851572850	nature	3,3,3,3,3
800846687	nature	3,3,3,5,3
4118235735	nature	3,3,3,3,3
7815295878	animals	3,3,5,3,4,4
6192275186	urban	2,4,3,4,4
4676521262	animals	4,5,4,5,4
8483754857	urban	2,2,2,3,2,3
230641126	nature	4,4,3,5,4
5432896420	nature	4,4,4,4,3
5583612297	animals	3,3,3,3,4
7087455397	people	4,4,4,5,4
2343794564	nature	3,3,3,3,3
2836216725	people	4,2,2,1,3
63155120	nature	3,2,3,3,3
5591556278	nature	2,3,2,4,3
3644873912	animals	4,3,4,4,3,4,3,3,2,4,3
3631180339	animals	3,4,4,3,3,4
252924842	animals	3,4,4,5,4
4524580145	urban	4,4,4,5,4
4961055513	nature	3,2,5,3,5
6736249831	people	2,3,2,2,3,2,2,2,3,2
28216246	animals	3,3,3,3,3,2
179767060	nature	3,3,3,3,3
8201117438	people	4,4,4,3,3,3,3,3,4,3
6048600031	animals	4,5,5,3,5,5,4
502587682	nature	3,3,3,4,3
4645918131	animals	4,3,4,3,5,4,3,5,5,3
8306497938	people	3,3,3,3,3
6822005770	nature	3,3,3,5,5
4085691055	nature	2,4,4,2,5
6274247355	people	3,3,3,2,3
2344689317	urban	4,5,4,4,5
7501502000	people	4,3,3,4,4
2060710977	people	3,3,3,3,3
3273395338	nature	3,4,3,3,3
8262992322	animals	3,4,4,4,4
5295128329	animals	3,3,4,4,4,1,1,1,1,3
4951282970	urban	3,3,2,2,3,3,2
8327028212	people	5,4,5,4,3,5,4,4,3,3
5215724534	people	3,3,3,2,3
7223783652	nature	2,3,2,3,4,3,3,3,4,3
3264104085	animals	3,4,3,4,3
6967920914	nature	4,5,4,4,5
5512058612	urban	2,2,3,3,2
6619054603	people	4,4,3,3,3
4815490761	urban	4,3,3,3,3
3067241283	nature	3,4,4,3,5
3643148390	people	3,3,3,3,3,3,3,3,3,3
3327224829	people	5,3,3,3,4,3,3,3,3,3
7074721033	nature	4,3,4,3,5
3222035439	animals	3,3,3,3,3
3331519862	nature	3,3,3,3,3,3,3,4,4,2
2350197061	nature	2,3,4,3,3
6162789479	animals	2,3,2,3,2
7941371428	nature	3,4,3,3,3
8502933557	animals	3,3,4,3,3
2698857122	people	2,3,2,2,2,2,2,2,2,2
4559004485	nature	4,3,3,4,4,3,3,4,4,4
211075301	animals	3,3,3,3,3
4757600253	urban	3,3,3,3,4
3290566659	urban	4,3,4,4,3
3625938287	nature	4,3,4,4,2
4871866974	urban	4,4,4,4,3
2115228185	animals	4,4,4,3,4,4,3,5,5,4,4
6042148368	nature	3,3,3,3,3
4794147031	urban	4,3,2,4,3
3927931023	nature	3,3,3,4,3
949332789	nature	3,3,2,2,3
5209209374	urban	3,3,3,3,3,3,3,3,3,3,3
103126528	animals	3,3,2,4,3,3
493838036	animals	3,4,3,3,4
4639980914	nature	3,2,3,3,3
6626209577	people	3,4,5,4,3,1,3,5,5,4
4767754248	nature	3,3,2,4,3,3,3,3,3,3
4982696068	nature	3,3,3,3,3
4650502543	nature	3,2,3,2,3
2741990218	nature	3,4,3,3,3
5706788511	urban	3,3,3,3,3,4,3,3,3,3
6065014458	people	1,1,3,1,1
2942328206	nature	3,3,3,4,3
5724156652	nature	3,3,3,3,3
142250042	nature	3,3,3,3,3
3582497430	nature	4,5,5,5,5,4,5,5,5,4
5584868997	animals	3,3,3,4,4
2584608629	animals	3,4,3,3,3,3
6342648025	urban	3,3,3,3,3
383090897	nature	2,4,3,3,3
7399876138	people	4,4,4,5,3
55859329	animals	2,4,3,3,4
154911633	nature	3,3,4,3,3
4826978430	urban	3,3,3,3,3,3
4208842555	nature	3,3,3,3,3
3078684430	urban	3,2,4,3,3,4
6873008373	urban	3,3,3,3,3
111023917	nature	3,3,3,3,3
3970152866	animals	4,5,4,3,4
2061248987	animals	5,4,4,4,4
2236261882	animals	3,4,3,4,3,4
5702345069	urban	4,3,3,4,4,3
2481337002	urban	4,3,4,3,2
388611920	people	3,3,3,3,3
6057054911	animals	5,4,5,4,4
524654472	urban	3,4,4,3,3
2834690277	nature	4,4,4,3,5
4856465878	nature	3,3,3,3,4
1478525511	people	4,3,3,3,3
554891811	urban	3,3,2,3,3,3
6511373431	people	4,3,4,3,4,4,4,4,4,4
2933735054	nature	3,3,3,3,3
5750825840	nature	4,4,3,4,3
8097001481	animals	5,5,5,5,5,5,2
2316281972	urban	3,3,4,4,3
4266635667	urban	3,2,2,3,3
8302745795	nature	3,4,5,3,2
5767164318	animals	3,4,3,3,3
4458447168	people	2,2,2,2,2,2,2,2,2,2
604842719	animals	4,3,4,4,3
5696960987	animals	3,3,3,4,4,3,4,3,4,3
8169491171	people	4,4,3,4,4,3,4,3,4,4
465166578	nature	4,4,3,3,4
6345277385	animals	3,4,5,3,4,3
5456745892	people	4,4,4,3,3
4956171513	animals	2,2,2,2,2,2
5801899568	people	4,4,4,4,4
8016158937	people	5,4,4,5,4
5560479825	nature	4,4,4,4,4
87290915	urban	3,4,4,4,3,3,3,5,4,4
8112978604	nature	4,4,5,4,4
5229426724	nature	3,3,3,3,3
1355143548	animals	3,3,3,3,3
7131709539	urban	3,3,3,3,3
506442248	urban	4,3,4,3,3,4,4,4,3,3
8035933536	nature	4,2,4,3,4
8457973003	animals	5,4,4,4,4
2518116980	nature	3,3,3,4,3
