TEXT_COLUMN_NAME,LABEL_COLUMN_NAME
Good overview. Needs to include more hands on development. 1 star because Coursera wont let me take the capstone even after completing all four pre-requisite classes (this one is the fourth).,1
The lecturers have poor vocabulary and pronunciation and the videos are very repetitive. They r repeating the same thing in all the videos.,1
Waste money and time! Do not explain very well!,1
The worst! I don't recommend you to take any course from this institute. It is just wasting time and money.,1
"Course advertised incorrectly. This course is more on the electronics and embedded systems end of IoT, as opposed to a high-level perspective.",1
Too many obvious things.,1
"Superficial treatment of the subject matter. Presentation was awkward and slow, and at times condescending in tone. This whole course is equivalent to a 2 hour seminar on ""How to live more positively"" presented at local community centre. It is not university level learning - instead it seems glib and lacking in substance.",1
"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role.Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience.",1
The first three weeks assigments were way too easy and the answers could be found in the material.The last assignment was very poorly described and the material was very limited in explaining OOP. That meant it took a lot of time figuring out what exactly was needed to complete the assignment and how to do it.Disappointing after a great first course. Hoping the next will be better.,1
"Course depends too much on multiple third-party sites to be as enlightening as I had hoped. I learned about some great resources, but that's about it.",1
"Content is not well organized, videos are disconnected from one another, explanations are not clear, spreadsheets contain vast information that is not explained anywhere. It is been quite difficult to follow through the course and I bet many students are giving up.",1
Too theorical and bold course,1
The course was not what I wanted,1
I havent been able to use C # in my PC so the course became useless,1
"I didn't like that course because of:-weak explanations of algorithms-almost all assignments I googled, I spent all my time googling these algorithms-when code is submitted and something goes wrong It is not possible to understand what is really happened",1
"Hate this class, I wasted 200 bucks on this crap and now I am stuck taking it...",1
"Money hungry, greedy! Won't let us complete quizzes without paying! Shame!",1
"I'm sorry to say this is a poor course. The audio is bad, the sound editing is bad, the ""videos"" are mainly static slides that sometimes aren't even showing what the audio is talking about. There are no worked examples or annotated slides. As an example, there's no discussion of the difference between WordPress.org and WordPress.com. The only time that is mentioned is when they touch on plugins, where they say you can't use them if you started with WordPress.com! The additional lectures by guest website designers were the most interesting part, but they were supposed to be after the final project. I just gave up after less than an hour and went and played with WordPress myself. Created a website in 2 days, but with no help from this course.",1
Someone who doesnt pay doesnt really participate in this course,1
The assignment is meaningless. lack of instructions.,1
Too expensive for such a simple course,1
there is no proper documentation.at least there should be some clear instructions for first program,1
"Utterly disappointing. I hoped for a fact-based education on current scientific thinking in nutrition. Instead, this course consists of a couple of people's opinions on eating, without cited evidence, presented in a feel-good documentary-lite format with good camerawork and cute children. This is a high school public service announcement, not a university course; not what I'd expect from Stanford or Coursera.",1
"Nothing much to learn, the videos were rather short. There's no lecture on computing the angles and the full features of the framework. The framework wasn't updated for Swift 3.",1
"The quality of the presentation is very low, and way below the quality in other courses. The assignments are very poorly designed. This is not a subjective personal experience. This is based on discussions with other learners in the forum who have expressed disappointment and frustration.",1
"Hi,I was looking for a good introduction course to food and nutrition and, alas, this is not it.I knew 90% of the things discussed in this course, and I was expecting more, but all I got was very basic advices (""eat less"", ""don't eat crap"", etc.), all with videoclips and music which got annoying really quick.Disappointing.Take care.",1
"Its a hard course, and u may only take the quizzes twice every week.",1
$40 is way too much to spend just to learn how to install a couple pieces of software and sign up for a GitHub account. The entire course should have been the first week of the following course.,1
"Neither statistics nor R was covered in any meaningful way. At the end of the course, you are left with frustration for having to jump through the loops, but no understanding of the principles. I am a college instructor for Statistics, having graduated from a PhD program - even with that background I could not follow the instructor.The course designer never considered the audience, and never identified the goals of this course. The instructor was lost between teaching R and teaching stats, so in the end he did neither. Worst course I have ever taken, both online and face-to-face.",1
Not very interesting or well-presented.,1
Very Poor Course.Should be removed from Coursera.,1
No good without the missing course and capstone projects,1
"Course does not do a good job actually explaining R or training you on how to properly use it. The lectures go over the material very fast and you do not get much out of them, and then the assignments throw complex problems that are very difficult. You spend most of your time Googling to learn it, and I find that I would have learned R better if I just did that to start without this course. Maybe if you aren't new to R and have a programming background, it may not be so bad, but if you are new to R and not an experienced programmer, this is not the class to take to learn it.",1
really bad!,1
well taught but not what I thought it would be.,1
"Submit button wasn't working for assignment, assignment was heavily weighted on mobile app (which was the least pertinent part of the course for me), generally seemed disorganized.",1
"By far to expansive for what you get. Anyway, thanks for the hint about swirl.",1
"The provided material is good, but not good enough to be called a 'course'. It seems more like a 'talk', not a 'course'. I suggest to add more materials, or merge with other courses.",1
No factual tools !,1
"Charging for free content, really?? Go fuck yourselves",1
It is very old technique of teaching,1
assingnments are not grading .so i do not have reason to study something that can't finish,1
"I can't complete the course without passing the graded content, but I can't complete the graded content unless I pay money and upgrade. Not the purpose of thes courses.",1
"The course is basically an advertisement for the software one of the teachers created. I did learn a bit of high level concepts, but when it comes to coding, the answers is always 'conveniently, my software does this for you'. I wanted to actually learn about these concepts deeper, and implement them.I also was able to complete this 6 week paid course in a few days which should not be possible. I have since started the free Stanford course taught by a co-founder of coursera, and it is MUCH better! I recommend it to anyone!",1
Tree exercise had absolutely no relevant video material. Videos give zero context for why data structures are important or when they are used....Should take a lesson from the Stanford course.,1
"Not what I expected. Though the lecturer quite patronising and the exercises too juvenile. Did not finish the course, so it may have improved after the first few sessions. Thank you.",1
when you finish the course you won't be able to print out your certificate so don't even waste your time with this bs website. I am beyond pissed rn and I'm reporting this to everyone this a real comment about this course too.,1
"Poor lectures, inaccurate and incomplete information. Narrative about changing colors is reminiscent of Sal Khan. I just can't listen to any more of this.",1
"Presentation is so boring and dry, I could not bring myself to watching past the first couple of videos.",1
Muy poca información.Very few information.,1
"This course is not so good. A lot of things are just come from the instructor's head without correcting reference from high quality literature. He can say whatever he think is right. But I would not say all animals do not have complex language systems, or we have one single origin of language. I would also suggest the instructor to interview more world-famous linguists, not just play simple ask and answer with his students.The examples of different languages in the later weeks are interesting. But somehow I expect some better understanding of more aspects of languages. In general I would say it still has so much space for improvement. I would not recommend anyone to spend time on learning this course.",1
"I have fallen asleep during 3/4th week, and it have never happened to my during any of the Coursera courses... I'm sorry, but it completely failed my expectations. 3 weeks out of 7 gone, and I have learnt absolutely nothing about dogs. Yes, I got some psychological basis, but that's not what I looked for/ The lecturer politely suggests to buy his book ... well if it is the same quality as the presented course, than it's useless...",1
The entire course was not paced well. The capstone had as much work each week as the other courses had in the entire 6 week course. To make it worse for me the capstone came up at the end of the year when teachers are overloaded already. I ended up having to roll over to the next session 1/2 way through. Work should have been better spread out. I also do not like that you get no real teacher evaluation in a capstone. Meaning a student could take a full 8 courses over a year and then fail when the teachers finally look at all the work in the second capstone.,1
The course seemed not to be prepared with anticipation. I left it because of that.,1
Extremely generic and a but to much of self-promotion.,1
The professor was completely inadequate. Many parts were unsuitable for this course. He has eliminated the useful discussions among students without explanation.,1
All assignments giving you more insight on your personality had to be purchased. I did not really feel like a free course .... too,1
Disorganized.,1
"It is too hard to understand what he is saying, his accent is impossible to follow. Besides, the lectures are not dynamic, it is just him reading the slides with the most monotonous and boring voice ever. I took the first course of the specialization with David and this is the complete opposite. I would love to see the whole 5 courses with David and not only the first one.",1
"I think the way it is taught is not very insightful, the lecturers clearly just read a script and make it difficult to follow. They assignment questions are often hard to understand. Most importantly, there is very little about the actual mechanism behind pricing financial instruments, instead they just state the formula.",1
Extraordinarily dry presentation. It was a struggle to sit through each video.,1
"Waste of time and I did not learn anything from this course.It is basically 6 weeks of the ""facilitator"" asking questions without offering much in the form of answers.",1
"Sorry to say that this is not a well prepared course. The course video provided is quite short, the quiz is rather than nothing and the programming assignments are buggy. I don't feel that I learned a lot from this course.UPenn has let me down twice. Hope the 3rd one will be better.",1
"Sorry, but the course is very poor. I've watched all the videos of the first week and it's mostly about nothing. And, by the way, too much stories. And I'm still wondering why simpke brainstorming is called ZiZoZi (""new"" approach as it described).",1
"Very bad course. No videos, just an interactive textbook. The course states all you need is ""high school level biology"" yet you require coding knowledge for the very first quiz. there are side questions on the first week like does this algorithm runs in O(k * l * x^2) or O(xllogk) without ANY explanation. I guess you can find much much better book about bioinformatics, and as this course is nothing more then a book i recommend a better one.",1
"I was expecting something else, very basic information.",1
Very confused. So there is little point. Only vague news ... nothing substantial!,1
There is insufficient peers to review. The content is mostly theory from the e-textbook.,1
A waste of my time.,1
"Duke.... Coursera... guys, come on! I'd like to contrast this with the Wharton Business Analytics specialization that I'm completing. It was like night and day. I mean, professors in that course are presenting their own research! Cade Massey presents research he did with Dick Thaler! None of that happens here. The information shared doesn't even flow smoothly.This course relies mainly on PDF slides (if I wanted to read, I would've bought a book). At one point, it even links to 6 articles on another website (and that's in the quiz as well). It seems like very little effort was put into this online class by the professors. The slides themselves seemed scatter-brained, several times asking questions that are never even answered. It was almost as if someone took already prepared slides from a course and just kind of mashed them with a very little bit of video to make an ""online"" course. Even the answers to quizzes seemed extremely vague (it often felt like there were several right answers... or none -- to me, this is sloppy quiz writing).I honestly expected better from both Coursera and Duke! The only redeeming part about this course is that behavioral economics is honestly compelling, despite the shortcomings pointed out.",1
"I really wouldn't call this a course, just an overview of VR & AR technologies and really general principle of work for AR. It took be less than an hour to watch everything and pass the tests.",1
Very basic. I guess if you have no education or experience its good.,1
"This course was delivered 6-months behind schedule and the assignments half-way through the course can't even be completed due to technical problems and sloppy content. When students try to seek support to fix the issues, nothing is done and they receive no response. The specialization started so well, but the care that was taken to craft the specialization course content in the beginning has been lost in the later courses.",1
This required nearly no effort and is probably of little value in the real world.,1
"This was really disappointing.There is almost no connection between the experience of the lectures (and that's all the videos are - lectures that track a PowerPoint presentation) and the assignments, quizzes, etc. Reference and source materials are frequently mentioned in passing, but there is no comprehensive list of works cited anywhere. The assignments are often vaguely described and, in more than one case, were described entirely differently in different places.I have nothing good to say about this experience. You're watching a fundamentally disconnected series of mostly ad-hoc discussions of vague concepts. A simple list of books to read would be much more valuable.This is by far the worst MOOC I've taken, from any source, in any discipline. The fact that it actually costs money simply adds to the pain.",1
I can't even access the site.,1
Unorganized and not very useful. The main goal of the course is for you to use Stack Overflow.....SAVE YOURSELF $,1
To be honest I don't think this is worth the money.,1
Easy but really complicate to submit the assignment.,1
so easy,1
"Not very engaging. Information overflow and poorly delivered lectures where the instructor is just reading from slides. I don't recommend paying for this, it is better to just check out the syllabus and read about this stuff online.Note to instructor: Very simple concepts were explained using overly complicated language. Also, please refrain from over using the word 'essentially'.",1
This course is too short and have little real time example .,1
very general ideas about diplomacy but nothing concrete,1
Way too easy assignments. Only good for people who never did any kind of programming. For the rest it's not worth the money.,1
"The course is very basic, videos contain a lot of repetitions and quiz questions are too easy (in addition, I believe that there are too much negative questions). I believe that this course should be called an Introduction to the basics of Nutrition and it's only for complete newbies. There are no insights in specifics of child nutrition besides general concepts of balanced diet and some tips how to make your kids be more enthusiastic in eating vegetables.",1
"Hi, I am an IT specialist (30 years experience). I undertook the course so I could learn about IBM Bluemix and IoT development, and extend my skills/understanding of the environment. However, I have very little good to say about this course offering. I had numerous issues with what was offered:The videos were generally ok, but some had poor audio. There was minimal video (compared to any other course I have done), and more detail and discussion in videos would have been more helpful.Some of the video material is out of date already, as I suspect Bluemix layout has changed - this made navigation a bit confusing.The downloadable Pi image has changed since the course was prepared, and the newer image has different code as standard. I ended up having to muddle-through manually loading packages and dependencies, etc. to get things to work.I lost many hours trying to debug and rework assignment code, just to get it to work for the grader tool. This was further complicated by not having good debug output from the grader to work with. Naturally some of the grader fails were my own fault, but the majority of issues I ran in to could have been avoided by better worded assignments and/or more detail about requirements.Lastly, it was taking sometimes days to get any response to requests for guidance on the forums / discussions. In fact, I think the majority of useful assistance came from other students who had run in to the same issue(s). When you have a course that is such a short time frame, you really need to be providing assistance in a timely manner.I could not, in any good faith, recommend anyone take this course in the future - which is a little saddening. I do thank the lecturers for their efforts thus far, and sincerely hope they can either improve or drop this course offering in the future.",1
There was basically nothing in it. He only repeated the points in the presentation! No explaining just throwing around numbers.,1
"I soon got bored with the simplistic solutions, lack of challenge, and frankly, a condescending attitude. I then took all the quizzes, guessed or surmised the answers, got 100% right, and went on to something more productive.",1
Peer to peer assignments are really slow and due time dependent.,1
"The Lecturers are very enthusiastic, but I was hoping for examples and assignments based on Pandas and Skikit-Learn. Instead the course examples and assignments are based on a machine learning package called Graphlab, that stopped working when it was upgraded to version 2 (there are workarounds that enable it to work locally, but clearly it isn't ""enterprise ready"")",1
Very little real content or information.,1
"A lot of things (Ruby version controls, PhantomJS installation) from this course don't work on Mac OS X El Capitan.",1
"Totally useless.1) Why is she speaking so so so slow? I put the playback rate at X 1,50 in order to be able to understand her.2) She is just making a summary in bullets of the readings that we are supposed to read anyway. Nothing new in the lectures.If it was not a part of the Specialization I would never follow that course, neither the other one taught by the same professor.",1
The quality of videos is not good. There is some absurd voice in between. Also the course for week 3 has information related to finance which is beyond understanding levels of a person with no financial background.,1
"Tortured by a platform glitch that initially denied me credit for my work and the certificate of completion but would not tell me specifically why. Turns out I needed to submit one additional peer review, although I only found this out by contact customer service. There was never any explicit message telling me what was required to complete the course and the information I did receive through the platform was just plain wrong. Content of the course was good but any feelings of accomplishment were overshadowed by the frustration of trying to straighten out what turned out to be a problem with coursera.",1
"The Instructor doesn't give enough info about principles and her presentation skills are very week,the studying material also are very poor",1
This course and material does not articulate the 'Google Cloud Platform' offerings. Maybe Google does not want to compete with Microsoft Azure and AWS alike. If Google itself has approved this 'Google Cloud Platform' trainings on Coursera then vola I am out. I am way better off supporting AWS and Azure (at least they have tons of good trainings and stuff to keep folks in the field excited).,1
no one would take this course any more.,1
"yeah i would give zero if possible. very shallow and general, cannot learn much from it. if u want a course about neuroscience there's way better course than this. what the hell emory? what hte hell coursera? i feel less and less sincerity in coursera's mooc these days. edx is doing a much better job in my perspective.",1
The Capstone project has been getting delayed since JanDont expect yourself to complete the specialization,1
"I quit this course in the 4th week and I hope my following points are seen as constructive and help the owners to improve the experience.- On the plus side this course presents some nice correlations between bible and Babylonion sources.- Quizzes are too hard. If you miss a single piece of information, you can't complete it due to a 4-out-of-8 selection question every week which you HAVE to answer correctly. After reviewing all videos of week 4 twice, I quit.- Lectures often lack a continuous thread to follow. Back and forward jumps in time are common. Timelines at the end sometimes help, but are shown too late.- The forum is abandoned! To the point of time there are three (!) posts in the forum and none of the forum operators. No one is taking care of it.- The lecturer's English is not good, but understandable. Sometimes with unusual choice of words.",1
The presenter are very annoying and i did not learn anything from this...,1
This Course is bad! I try to ask for help and then mentors only reply with I cant help you because of the Honor code. Well tat doesn't sound like much of an honor code to me. Of course I am doing my own work duh! I just need help. Dont we all need help from time to time. I think Coursera needs a lot of improvement. I am extremely dissatisfied with Coursera and this course but especially the mentors and their lack of mentoring. Education should be uplifting and positive and an area where individuals can ask question and receive help and not be scolded for asking help or asking questions like a beat down dog. I mean really I think Coursera needs to go take some hints from a real school or university and seek information on education and how it is best when students teach each other and If I can ask for help and learn from others and give then the opportunity to help me that whats the point of a discussion board. Do away with the discussion board or change the way the honor code is written. Yes I agree with Honor and doing your own work but come on. Help and tutoring is a valuable part of education and necessary to learning! Please make the necessary changes to better Coursera and make it a more positive educational experience. I mean please I am trying the best I can with what I have got and no one seems to want to help me learn and improve on my skills and my understanding. Make changes and make them now.Another reason I hate this course Is that Coursera does not believe in people helping one another. Then the mentors cant even explain how to work through the problem. The menotrs make things more stressful than they need to be because the dont give help or hints or clues. People need to talk to people on the phone or in person or the instructor needs to give better examples so people can better figure things out on their own. I just think Coursera is crap and this has been a very unpleaseant experience for me. Then on the discussing board i see others struggling with the same things and the mentos dont help them. People are pleading for help and not receiving any guidance or direction to help them figure things out. Things need to change with this program. They need to change soon!,1
"I had really high hopes for this course. I am not a programmer, though in college I learned C, C++, and used MATLAB a fair amount. I wanted to learn R because it is a free software versus paying a licencing fee to use SPSS which I have done in the past. I had already completed the first week of the course and the first week in this course. I went through the slides and I didn't really feel like I learned any actual programming so then to expect to answer questions where you had to program seemed a bit out of left field. As a comparison it felt like they had an hour worth of slides talking about different trees and how to differentiate them then asked you to drive a tank.I then took the time go through two swirl assignments which I hoped was going to fill in the many gaps left by the slides. They were definitely more helpful than the slide show, but I still felt like they would teach you how to add then ask you to multiply.So in general my recommendation would be not to take the course unless you have a fairly solid understand of programming, otherwise you will do what I did and just wasted $50.",1
"Short lectures, long intro, ridiculous music. Very quickly decided to learn this elsewhere.",1
starting to like this,1
"I did all four courses - the whole specialization. Each course in itself was aright and I learned new things. However, the course certificate is meaningless. It neither states the content nor the effort (for example the hours). Instead, it even says ""non-credit course"". This is despite the fact that the course equates ""35 PDU's"" and ""counts towards the UCI Project Management Certificate Programm""; as it was described in the FAQ. I feel betrayed. How can I apply with such a meaningless peace of paper anywhere?",1
"The qiuz are managed terribly, full of error and I seriously doubt the professor ever seen these quiz before. The Course suit for a beginner but a bit fragile, I expect more about building a usable model. This course need serious review.",1
"I do appreciate the effort put into this course, but as a programming course it is not very didactic.It lacks structure and even the names of classes chosen for the examples seem odd.",1
"Learned very little. Doesn't actually teach anything, but gives some tips by talking, the stuff that you can find by using google and clicking on the first link that appears. Some material gets repeated throughout the course. Quizzes are a joke really.",1
waste of time,1
bad course .. teaching was poor... assignments were very high level.. but teachings very of low profile,1
"This was the most poorly designed course that I have ever encountered. Whoever is in control of quality assurance was caught napping on this one - the instructors were woeful! It was as if the principles of instructional design and adult learning were abandoned entirely; there was minimal instruction and I had to rely on my intuition and the assistance of a study buddy to work hard to complete the course. If you are completely new to website design (as I was), prepare for a steep learning curve as you will be spending many hours preparing and organising your info - the title is deceptive and misleading!Ann, Melbourne, Australia April 2016.",1
"The female lecture's speech is so fast and unclear, even though the subject itself is very interesting but I have to leave this class.",1
Boring and not that useful...,1
"While this course presents great content and valuable information, the caveat is in the overall experience. The moderators and instructors are nonexistent and cannot be reached. There is only one moderator who finally did his job and showed up to deal with some issues that many classmates were having (including myself), and even his response time is only once every week! So, he only started checking in once a week after I had already nearly completed the whole course. There are also some serious issues with glitches, technicalities and not being able to pass assignments and grade others' assignments. I completed this course a week ago, and many of my classmates are not able to complete it due to extreme glitches, like the system not taking in their projects and not even allowing them to move forward. It's such a shame. I'm the lucky one in that I was able to finish the course. The others? Not so lucky. They're still stuck back there and the staff of this course is really just not around and doesn't care! It's such a shame because, like I said, the material presented in this course is informative and valuable information.",1
"I didn't like it. It's all theoretical and there isn't any practice.Also, they didn't send me an accomplishment like the other courses that I already done.",1
The content is interesting but the presentation can be improved so that audience will not fall asleep easily.,1
"Very shallow coverage, doesnt have the scope to be an entire Course!",1
Arguments that sound very unconvincing and unscientific.,1
Very boring,1
"Using a proprietary library instead of widely used libraries and discouraging the use of open source widely used libraries. It barely compiles, the example notebook has method calls that use non existing methods of the SFrame object.The course claims that it teaches the student how useful practical knowledge but then ends up using a non standard library and saying not to use pandas or scikit learn.",1
"Course 1 was really enriching, but this second stage didn't achieve the level that it's supposed, videos should be remake in order to connect with learners, materials should be upgrade to fulfill expectations.",1
"Capstone exercises were very ambiguous, the students were left to interpret they way they had to finish and how they rated their peers.The peer reviews were poor with little to no feedback and the focus was on how the material was laid out vs what the content was.I have done other coursers and capstones in Coursera this was one of the poorest. UIUC has to revamp this. More guidance to students in the instructions would be the first step.",1
WoW awful presentation but great instructor. I expected much more than this but :(Leveraging employer brand is not compelete :\,1
"I feel that this course is not looked after. Teachers are not actively present. There was an error on one quiz and another assignment was very poorly explained, leading to many feeling like we lost marks due to not knowing exactly what was expected of us. Many of the lessons waste time gushing over what's coming next, but quite often the lesson itself feels weak and vague. At some points I struggled to understand the point the lessons were trying to make. I learned a few interesting things, but for the most part I'm extremely disappointed with this course.",1
"not good as usual one, the code you provided can not work, I had to debug againand the instructions for the assignments are not concrete as the last two courses",1
"The worst professor in this specialization. The subject really interesting, and I have been studying for a while in my Master's and PhD in engineering, so I could understand the bulk of the course. This is a very important subject in data analysis and these poor explained classes could make lot of people give up the specialization. Statistics involves much of mathematics and calculus which make it a natural challenge for most of the people. Please, improve these classes in order not to disappoint the student who want to become data scientists.",1
Still canny program. 0/10,1
bad for the projects,1
"Coursera stands for its rich courses. This one is an exception, one of the worst I've ever seen so far. It's like reading a bad inspirational book. No system, no methods in place.",1
"Some of this content is glaringly wrong e.g that F Roosevelt's freedoms weren't seen by him as inalienable rights, that culture and education were attributes of Eleanor's approach to freedom that were distinctive from FDR. One can go on and on ....",1
"Redundant, poor explanations and a complete lack of examples about the general concepts and the foundations of this discipline. The interaction between the teacher and the slides is limited to a reading exercise that does not provide any add value at all. Very dissapointed and still wondering if this course is worth my attention -and extremely limited time- or not. Plenty of room for improvement.",1
"just some basic knowledge, most of the knowledge is not expanded or deep introduced.",1
"The most terrible course I have ever seen in my life and on this site. For some of quiz questions, you feel like you are dumb because you can not make connection between lectures and quizzes. I really wanted to learn java on coursera but It seems impossible to me. Focusing on rbg values and image thingies too much and making me feel uncomfortable at quizzes after watching all those lectures are the main reasons of giving 1 star.",1
"Good if you want to fall asleep. The content is probably interesting, but they would have some use of advice from the entertaining industry.",1
"Course lacks wider and real socio-political context of the XIX and XX century Central and Eastern Europe. Additionally, it is full of statements that are not supported by the historical facts.",1
Has been postponed for months and it's still only available for preview,1
A couple of results in Q1 directly contradict the theory. Course is quite unreliable.,1
Coursera and this course sucks. You are at the mercy of idiots doing your peer review.,1
"the tutorials is not for average students, it takes a very high skill to understand them . also the quiz nd the assignments r too tough.hope you can make them a bit easy, the last one ,ie with graphs and trees was a bouncer. If the maths required is so high, please take a week to first explain the math fresher required in course and then start the main course",1
"My experience with Teradata has been awful. Connection issues, latency, time outs. What should have taken 45 minutes took nearly two hours because of the load times for datasets. No clock or indication of progression for the queries.",1
"You need to pay to participate in the quizzes. Stay clear, there are free alternatives out there",1
Poor help with instructions. Was trying to install to Linux while reading the video screen as there is little documentation or any actual explanation as to what you're doing. Got to a part where a command on my terminal wouldn't work and given I have no idea how it works to begin with I couldn't debug the issue.Also as a general review of the little of the course I did it's generally considered poor form to just read back what the viewer can see on the screen already when doing presentations. Was disappointed with this course.,1
