response,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
8,0.896,0.332,0.597,0.675,0.335,0.575,0.168,0.5,0.119,0.427
9,0.159,0.897,0.58,0.602,0.862,0.587,0.789,0.789,0.239,0.406
7,0.643,0.891,0.645,0.291,0.268,0.289,0.375,0.895,0.367,0.386
3,0.301,0.476,0.138,0.055,0.345,0.36,0.445,0.567,0.526,0.592
2,0.083,0.631,0.354,0.418,0.262,0.234,0.421,0.169,0.651,0.518
5,0.813,0.237,0.806,0.304,0.326,0.824,0.489,0.975,0.28,0.37
12,0.341,0.874,0.531,0.842,0.298,0.235,0.75,0.206,0.139,0.57
3,0.26,0.334,0.132,0.409,0.165,0.894,0.461,0.566,0.847,0.789
10,0.868,0.36,0.035,0.368,0.019,0.871,0.122,0.578,0.873,0.55
7,0.26,0.934,0.66,0.534,0.446,0.309,0.659,0.724,0.523,0.069
15,0.781,0.634,0.191,0.837,0.762,0.931,0.34,0.862,0.506,0.93
11,0.115,0.593,0.799,0.976,0.912,0.514,0.466,0.938,0.571,0.968
6,0.858,0.973,0.004,0.097,0.547,0.305,0.226,0.794,0.061,0.291
14,0.7,0.514,0.792,0.971,0.164,0.755,0.868,0.862,0.293,0.308
15,0.583,0.874,0.125,0.862,0.266,0.042,0.118,0.779,0.414,0.823
15,0.789,0.663,0.795,0.692,0.505,0.429,0.401,0.102,0.28,0.044
11,0.59,0.871,0.508,0.455,0.491,0.218,0.833,0.971,0.699,0.529
5,0.11,0.012,0.671,0.662,0.769,0.689,0.32,0.124,0.285,0.397
13,0.789,0.811,0.095,0.21,0.695,0.561,0.556,0.21,0.131,0.927
4,0.966,0.88,0.052,0.27,0.384,0.049,0.807,0.713,0.642,0.039
7,0.491,0.021,0.61,0.865,0.697,0.195,0.923,0.237,0.015,0.512
5,0.346,0.872,0.734,0.181,0.145,0.199,0.123,0.5,0.237,0.155
13,0.234,0.794,0.847,0.859,0.642,0.714,0.168,0.839,0.971,0.855
10,0.446,0.157,0.163,0.548,0.952,0.416,0.475,0.943,0.56,0.118
15,0.855,0.847,0.026,0.801,0.883,0.775,0.004,0.695,0.528,0.971
0,0.139,0.368,0.526,0.282,0.046,0.187,0.038,0.671,0.557,0.05
0,0.396,0.129,0.516,0.121,0.121,0.501,0.141,0.614,0.188,0.989
2,0.359,0.671,0.441,0.008,0.61,0.199,0.956,0.401,0.03,0.178
6,0.733,0.601,0.474,0.345,0.191,0.213,0.141,0.906,0.368,0.256
9,0.129,0.213,0.004,0.974,0.317,0.521,0.829,0.413,0.317,0.874
8,0.156,0.368,0.15,0.716,0.343,0.193,0.474,0.711,0.466,0.966
2,0.429,0.011,0.077,0.371,0.18,0.573,0.404,0.632,0.811,0.77
8,0.957,0.818,0.465,0.863,0.063,0.201,0.897,0.291,0.1,0.433
3,0.955,0.022,0.921,0.012,0.931,0.755,0.575,0.4,0.753,0.18
8,0.654,0.23,0.762,0.443,0.854,0.635,0.384,0.616,0.489,0.982
5,0.314,0.129,0.265,0.666,0.329,0.949,0.967,0.704,0.798,0.415
0,0.127,0.672,0.514,0.327,0.189,0.133,0.603,0.354,0.551,0.834
8,0.736,0.165,0.704,0.751,0.322,0.081,0.957,0.054,0.26,0.056
5,0.511,0.501,0.625,0.22,0.813,0.392,0.832,0.108,0.467,0.585
9,0.518,0.514,0.289,0.389,0.827,0.103,0.02,0.879,0.291,0.358
12,0.439,0.658,0.382,0.843,0.579,0.158,0.448,0.393,0.253,0.57
3,0.9,0.125,0.879,0.258,0.319,0.492,0.531,0.664,0.236,0.997
14,0.861,0.701,0.605,0.663,0.895,0.349,0.873,0.067,0.198,0.766
8,0.197,0.761,0.972,0.062,0.89,0.083,0.269,0.463,0.557,0.229
7,0.843,0.519,0.83,0.131,0.077,0.45,0.124,0.727,0.612,0.621
1,0.964,0.097,0.253,0.046,0.676,0.777,0.037,0.395,0.115,0.554
15,0.476,0.524,0.83,0.929,0.51,0.119,0.791,0.743,0.042,0.607
2,0.078,0.012,0.798,0.271,0.963,0.423,0.746,0.569,0.027,0.542
6,0.688,0.741,0.66,0.066,0.062,0.797,0.465,0.021,0.116,0.736
10,0.287,0.438,0.401,0.883,0.97,0.448,0.03,0.746,0.478,0.415
6,0.478,0.323,0.838,0.519,0.03,0.079,0.597,0.015,0.312,0.727
1,0.612,0.134,0.49,0.538,0.183,0.14,0.167,0.408,0.163,0.124
9,0.984,0.602,0.49,0.358,0.629,0.733,0.817,0.432,0.316,0.888
13,0.782,0.828,0.899,0.332,0.709,0.794,0.101,0.614,0.066,0.54
12,0.606,0.671,0.766,0.547,0.809,0.536,0.418,0.201,0.694,0.028
13,0.356,0.747,0.462,0.854,0.883,0.749,0.894,0.543,0.335,0.83
8,0.589,0.728,0.918,0.052,0.28,0.771,0.228,0.767,0.548,0.261
15,0.502,0.766,0.075,0.942,0.936,0.243,0.848,0.709,0.065,0.265
15,0.476,0.506,0.006,0.919,0.698,0.547,0.344,0.781,0.862,0.3
11,0.812,0.626,0.71,0.637,0.248,0.475,0.491,0.977,0.567,0.593
11,0.934,0.516,0.536,0.541,0.388,0.436,0.894,0.066,0.393,0.645
12,0.065,0.542,0.736,0.982,0.77,0.64,0.015,0.162,0.519,0.017
15,0.802,0.414,0.227,0.907,0.952,0.466,0.072,0.356,0.094,0.32
15,0.825,0.592,0.59,0.761,0.847,0.153,0.616,0.498,0.685,0.457
9,0.103,0.192,0.218,0.971,0.924,0.561,0.24,0.296,0.311,0.657
1,0.046,0.013,0.365,0.628,0.176,0.269,0.897,0.282,0.95,0.336
6,0.527,0.2,0.038,0.568,0.115,0.117,0.645,0.394,0.633,0.21
15,0.805,0.608,0.319,0.811,0.763,0.471,0.663,0.805,0.442,0.218
8,0.857,0.312,0.023,0.045,0.494,0.051,0.145,0.999,0.813,0.998
2,0.34,0.324,0.558,0.346,0.403,0.481,0.015,0.213,0.893,0.259
4,0.487,0.228,0.306,0.289,0.78,0.758,0.696,0.646,0.237,0.736
13,0.997,0.688,0.672,0.843,0.753,0.971,0.126,0.848,0.647,0.841
13,0.45,0.715,0.227,0.424,0.858,0.209,0.483,0.454,0.296,0.927
5,0.561,0.337,0.819,0.012,0.843,0.554,0.148,0.713,0.096,0.366
3,0.966,0.913,0.71,0.437,0.369,0.763,0.112,0.695,0.788,0.757
4,0.386,0.379,0.203,0.216,0.455,0.271,0.936,0.284,0.717,0.083
14,0.841,0.616,0.706,0.705,0.783,0.659,0.129,0.543,0.593,0.757
0,0.208,0.133,0.327,0.225,0.445,0.215,0.839,0.137,0.284,0.935
4,0.809,0.06,0.292,0.954,0.194,0.241,0.083,0.569,0.751,0.85
8,0.567,0.412,0.648,0.252,0.773,0.309,0.883,0.086,0.17,0.335
5,0.915,0.912,0.348,0.427,0.62,0.164,0.845,0.128,0.224,0.684
13,0.584,0.72,0.858,0.552,0.51,0.044,0.122,0.623,0.04,0.513
0,0.037,0.661,0.538,0.471,0.168,0.807,0.989,0.014,0.167,0.867
7,0.811,0.339,0.707,0.452,0.174,0.151,0.145,0.545,0.187,0.834
1,0.116,0.144,0.798,0.621,0.015,0.009,0.546,0.523,0.98,0.679
1,0.903,1.0,0.261,0.141,0.718,0.495,0.88,0.313,0.515,0.028
5,0.561,0.499,0.264,0.235,0.202,0.25,0.151,0.272,0.821,0.553
0,0.977,0.818,0.386,0.038,0.148,0.594,0.329,0.817,0.091,0.295
7,0.68,0.517,0.997,0.001,0.033,0.494,0.231,0.494,0.647,0.727
15,0.774,0.739,0.0,0.44,0.688,0.825,0.348,0.846,0.868,0.836
3,0.019,0.906,0.731,0.535,0.5,0.407,0.518,0.209,0.8,0.709
2,0.299,0.351,0.726,0.216,0.334,0.591,0.204,0.515,0.847,0.758
10,0.541,0.783,0.507,0.309,0.921,0.244,0.399,0.461,0.317,0.024
1,0.326,0.216,0.598,0.301,0.368,0.439,0.178,0.316,0.077,0.139
7,0.452,0.165,0.597,0.741,0.988,0.262,0.692,0.541,0.737,0.123
13,0.941,0.777,0.199,0.897,0.518,0.984,0.855,0.67,0.032,0.822
6,0.346,0.707,0.907,0.172,0.466,0.828,0.073,0.238,0.508,0.685
14,0.458,0.426,0.1,0.791,0.849,0.726,0.544,0.163,0.349,0.373
11,0.851,0.611,0.471,0.637,0.105,0.923,0.584,0.145,0.974,0.973
0,0.092,0.72,0.341,0.233,0.213,0.912,0.015,0.746,0.556,0.558
14,0.6,0.949,0.503,0.777,0.643,0.451,0.475,0.018,0.81,0.826
12,0.791,0.501,0.859,0.079,0.952,0.41,0.753,0.235,0.675,0.973
10,0.177,0.625,0.612,0.854,0.68,0.343,0.639,0.086,0.887,0.746
8,0.315,0.9,0.301,0.176,0.82,0.141,0.267,0.213,0.612,0.724
3,0.317,0.235,0.671,0.677,0.02,0.66,0.08,0.531,0.115,0.879
10,0.983,0.919,0.12,0.76,0.636,0.519,0.324,0.466,0.008,0.545
1,0.143,0.267,0.63,0.298,0.55,0.222,0.771,0.31,0.87,0.659
2,0.108,0.315,0.019,0.024,0.294,0.259,0.551,0.837,0.05,0.477
15,0.295,0.709,1.0,0.917,0.721,0.552,0.935,0.993,0.482,0.532
2,0.459,0.444,0.712,0.207,0.063,0.835,0.933,0.081,0.158,0.739
7,0.861,0.226,0.82,0.51,0.234,0.413,0.968,0.971,0.607,0.988
6,0.894,0.278,0.829,0.068,0.611,0.431,0.617,0.577,0.643,0.612
9,0.62,0.625,0.094,0.117,0.331,0.58,0.112,0.313,0.695,0.474
0,0.053,0.715,0.543,0.074,0.531,0.525,0.833,0.514,0.028,0.784
11,0.25,0.72,0.622,0.965,0.181,0.362,0.861,0.494,0.479,0.99
2,0.189,0.175,0.37,0.409,0.629,0.099,0.785,0.31,0.478,0.807
2,0.293,0.168,0.639,0.256,0.699,0.235,0.013,0.508,0.991,0.356
10,0.647,0.991,0.824,0.263,0.978,0.282,0.785,0.62,0.32,0.245
9,0.124,0.755,0.134,0.831,0.256,0.133,0.124,0.294,0.12,0.384
14,0.481,0.617,0.939,0.605,0.773,0.204,0.792,0.032,0.59,0.623
5,0.244,0.462,0.508,0.699,0.131,0.751,0.137,0.109,0.917,0.07
8,0.151,0.616,0.201,0.884,0.09,0.346,0.438,0.818,0.268,0.166
9,0.366,0.281,0.876,0.622,0.437,0.309,0.115,0.857,0.885,0.881
15,0.981,0.396,0.118,0.766,0.893,0.829,0.095,0.572,0.823,0.643
5,0.379,0.728,0.122,0.168,0.166,0.408,0.846,0.083,0.064,0.004
6,0.01,0.399,0.007,0.71,0.239,0.675,0.456,0.484,0.697,0.671
15,0.479,0.931,0.114,0.578,0.632,0.598,0.682,0.058,0.016,0.392
2,0.901,0.014,0.917,0.25,0.498,0.461,0.948,0.47,0.104,0.13
15,0.591,0.522,0.735,0.864,0.984,0.174,0.663,0.412,0.082,0.763
0,0.053,0.399,0.502,0.311,0.217,0.522,0.347,0.729,0.637,0.573
9,0.263,0.064,0.07,0.669,0.709,0.59,0.622,0.353,0.665,0.899
12,0.965,0.818,0.878,0.964,0.178,0.823,0.466,0.982,0.721,0.241
13,0.676,0.633,0.514,0.5,0.825,0.081,0.294,0.842,0.275,0.646
7,0.916,0.807,0.271,0.294,0.399,0.244,0.381,0.162,0.859,0.623
7,0.432,0.662,0.253,0.514,0.121,0.723,0.436,0.099,0.863,0.339
15,0.325,0.744,0.09,0.953,0.974,0.776,0.912,0.76,0.33,0.238
15,0.927,0.63,0.576,0.898,0.995,0.904,0.505,0.265,0.945,0.914
8,0.767,0.989,0.891,0.003,0.578,0.581,0.566,0.406,0.578,0.927
6,0.413,0.216,0.437,0.863,0.444,0.898,0.634,0.954,0.806,0.994
6,0.432,0.157,0.072,0.634,0.475,0.551,0.916,0.994,0.128,0.215
1,0.488,0.079,0.765,0.036,0.802,0.319,0.816,0.254,0.668,0.13
6,0.838,0.812,0.247,0.091,0.646,0.36,0.388,0.53,0.034,0.396
6,0.714,0.189,0.827,0.328,0.956,0.493,0.653,0.483,0.459,0.023
4,0.471,0.458,0.208,0.165,0.283,0.236,0.11,0.131,0.157,0.996
11,0.37,0.622,0.659,0.544,0.966,0.762,0.816,0.09,0.95,0.216
6,0.466,0.189,0.432,0.931,0.23,0.868,0.631,0.655,0.034,0.515
9,0.686,0.347,0.596,0.781,0.412,0.312,0.816,0.048,0.377,0.839
14,0.605,0.927,0.217,0.473,0.952,0.571,0.18,0.801,0.785,0.848
11,0.666,0.568,0.32,0.301,0.835,0.866,0.482,0.116,0.835,0.541
4,0.343,0.991,0.425,0.044,0.757,0.087,0.452,0.795,0.139,0.83
8,0.639,0.097,0.152,0.678,0.648,0.795,0.831,0.078,0.707,0.235
4,0.501,0.358,0.448,0.126,0.99,0.252,0.416,0.592,0.242,0.966
12,0.746,0.736,0.39,0.513,0.266,1.0,0.402,0.485,0.986,0.631
1,0.075,0.842,0.192,0.182,0.347,0.481,0.269,0.822,0.241,0.066
12,0.504,0.476,0.202,0.571,0.41,0.508,0.437,0.398,0.92,0.936
4,0.012,0.519,0.462,0.871,0.665,0.822,0.425,0.604,0.302,0.144
3,0.259,0.881,0.733,0.196,0.222,0.443,0.652,0.972,0.864,0.887
8,0.867,0.541,0.141,0.033,0.409,0.369,0.012,0.915,0.45,0.834
8,0.097,0.206,0.795,0.898,0.477,0.747,0.547,0.004,0.204,0.814
15,0.916,0.435,0.05,0.747,0.668,0.842,0.712,0.017,0.212,0.641
5,0.325,0.432,0.593,0.39,0.582,0.291,0.387,0.002,0.212,0.581
13,0.81,0.721,0.654,0.801,0.411,0.472,0.675,0.964,0.71,0.198
6,0.303,0.499,0.414,0.454,0.835,0.4,0.602,0.897,0.77,0.723
0,0.3,0.098,0.515,0.076,0.117,0.619,0.916,0.512,0.012,0.613
4,0.01,0.821,0.645,0.772,0.637,0.339,0.994,0.012,0.568,0.246
8,0.694,0.846,0.322,0.474,0.217,0.968,0.951,0.096,0.464,0.816
11,0.719,0.64,0.481,0.518,0.746,0.313,0.698,0.29,0.77,0.921
7,0.466,0.497,0.509,0.691,0.475,0.916,0.121,0.351,0.234,0.514
10,0.948,0.345,0.852,0.046,0.939,0.155,0.088,0.769,0.613,0.165
13,0.268,0.485,0.965,0.706,0.674,0.46,0.703,0.842,0.91,0.711
11,0.84,0.406,0.172,0.368,0.976,0.73,0.568,0.941,0.98,0.906
2,0.511,0.366,0.174,0.185,0.024,0.541,0.818,0.29,0.484,0.006
0,0.144,0.032,0.212,0.3,0.458,0.448,0.355,0.443,0.051,0.753
2,0.028,0.774,0.63,0.273,0.72,0.512,0.467,0.577,0.696,0.321
0,0.056,0.937,0.501,0.157,0.925,0.287,0.838,0.416,0.051,0.337
3,0.195,0.173,0.111,0.323,0.533,0.629,0.525,0.936,0.423,0.782
15,0.753,0.854,0.872,0.936,0.52,0.149,0.805,0.198,0.339,0.417
14,0.981,0.461,0.173,0.532,0.786,0.308,0.899,0.062,0.779,0.163
4,0.476,0.62,0.778,0.276,0.109,0.498,0.653,0.715,0.359,0.988
3,0.903,0.252,0.825,0.013,0.125,0.489,0.182,0.12,0.313,0.82
15,0.745,0.737,0.758,0.697,0.271,0.349,0.298,0.954,0.459,0.02
15,0.738,0.771,0.933,0.875,0.363,0.089,0.532,0.213,0.662,0.006
5,0.264,0.302,0.238,0.628,0.501,0.099,0.923,0.052,0.363,0.483
7,0.317,0.737,0.326,0.623,0.047,0.191,0.629,0.286,0.725,0.851
3,0.071,0.109,0.225,0.355,0.701,0.667,0.047,0.106,0.67,0.809
3,0.047,0.716,0.071,0.214,0.261,0.049,0.802,0.502,0.484,0.512
11,0.391,0.349,0.459,0.948,0.656,0.54,0.466,0.506,0.057,0.133
13,0.968,0.386,0.393,0.415,0.951,0.463,0.37,0.831,0.347,0.147
3,0.449,0.075,0.162,0.207,0.941,0.634,0.908,0.409,0.323,0.436
10,0.944,0.892,0.915,0.478,0.705,0.537,0.95,0.976,0.401,0.609
13,0.752,0.594,0.084,0.585,0.27,0.812,0.762,0.966,0.18,0.597
14,0.574,0.581,0.885,0.796,0.527,0.068,0.825,0.333,0.606,0.029
2,0.223,0.217,0.196,0.006,0.939,0.113,0.707,0.202,0.153,0.093
0,0.019,0.524,0.301,0.422,0.176,0.9,0.163,0.945,0.167,0.2
3,0.156,0.373,0.799,0.705,0.282,0.172,0.99,0.677,0.794,0.957
7,0.365,0.796,0.349,0.108,0.65,0.576,0.268,0.979,0.346,0.057
0,0.229,0.005,0.461,0.396,0.415,0.844,0.967,0.194,0.663,0.354
14,0.483,0.899,0.08,0.465,0.609,0.175,0.852,0.38,0.585,0.81
12,0.969,0.825,0.905,0.88,0.175,0.568,0.956,0.436,0.52,0.749
15,0.738,0.631,0.813,0.652,0.802,0.461,0.471,0.158,0.919,0.561
8,0.585,0.116,0.327,0.764,0.793,0.188,0.55,0.752,0.391,0.717
9,0.332,0.546,0.253,0.653,0.242,0.215,0.495,0.166,0.834,0.983
14,0.581,0.922,0.715,0.975,0.307,0.617,0.197,0.586,0.868,0.71
7,0.806,0.263,0.558,0.745,0.202,0.934,0.973,0.841,0.579,0.962
0,0.626,0.037,0.654,0.043,0.706,0.637,0.976,0.896,0.735,0.273
4,0.003,0.183,0.792,0.507,0.966,0.46,0.481,0.961,0.319,0.236
12,0.347,0.816,0.521,0.464,0.933,0.382,0.258,0.334,0.376,0.261
3,0.826,0.944,0.592,0.251,0.673,0.424,0.361,0.802,0.377,0.94
5,0.416,0.269,0.5,0.577,0.582,0.158,0.802,0.761,0.248,0.246
0,0.019,0.21,0.485,0.692,0.076,0.03,0.946,0.792,0.411,0.861
10,0.76,0.184,0.612,0.724,0.682,0.878,0.252,0.856,0.007,0.766
11,0.867,0.435,0.912,0.306,0.206,0.666,0.534,0.622,0.892,0.126
10,0.788,0.737,0.339,0.429,0.73,0.648,0.817,0.505,0.928,0.814
13,0.685,0.992,0.298,0.607,0.82,0.809,0.216,0.75,0.766,0.149
9,0.071,0.761,0.231,0.909,0.495,0.209,0.719,0.153,0.692,0.475
8,0.702,0.983,0.07,0.126,0.097,0.149,0.484,0.663,0.776,0.104
6,0.398,0.912,0.153,0.107,0.053,0.498,0.609,0.237,0.247,0.779
6,0.597,0.112,0.058,0.683,0.033,0.146,0.17,0.986,0.494,0.058
5,0.606,0.694,0.584,0.327,0.13,0.714,0.844,0.263,0.246,0.531
13,0.475,0.472,0.26,0.901,0.7,0.12,0.71,0.693,0.576,0.979
1,0.202,0.202,0.826,0.227,0.127,0.014,0.056,0.753,0.115,0.101
0,0.29,0.318,0.279,0.097,0.034,0.404,0.547,0.543,0.505,0.702
8,0.864,0.317,0.344,0.5,0.15,0.756,0.869,0.305,0.857,0.75
9,0.042,0.53,0.923,0.744,0.872,0.085,0.591,0.124,0.063,0.939
10,0.243,0.797,0.145,0.343,0.643,0.597,0.136,0.85,0.439,0.566
3,0.439,0.245,0.187,0.399,0.062,0.131,0.462,0.39,0.189,0.104
14,0.724,0.559,0.544,0.737,0.754,0.992,0.879,0.501,0.576,0.103
3,0.776,0.121,0.7,0.153,0.707,0.415,0.734,0.06,0.684,0.677
11,0.324,0.365,0.795,0.934,0.814,0.528,0.114,0.406,0.521,0.996
10,0.369,0.846,0.827,0.424,0.384,0.128,0.035,0.516,0.045,0.164
7,0.528,0.626,0.682,0.111,0.866,0.095,0.437,0.19,0.069,0.155
8,0.48,0.039,0.781,0.796,0.663,0.454,0.525,0.392,0.196,0.465
12,0.397,0.884,0.3,0.78,0.254,0.516,0.93,0.562,0.666,0.06
4,0.058,0.694,0.123,0.246,0.722,0.278,0.288,0.918,0.813,0.505
9,0.93,0.298,0.358,0.431,0.884,0.448,0.63,0.751,0.274,0.908
14,0.377,0.974,0.907,0.63,0.366,0.368,0.694,0.652,0.121,0.009
6,0.286,0.721,0.497,0.713,0.335,0.845,0.95,0.919,0.447,0.122
15,0.688,0.659,0.123,0.576,0.734,0.649,0.037,0.441,0.934,0.049
7,0.703,0.065,0.185,0.91,0.306,0.289,0.302,0.64,0.0,0.651
12,0.717,0.697,0.145,0.461,0.451,0.224,0.738,0.897,0.016,0.959
7,0.261,0.452,0.366,0.66,0.579,0.538,0.647,0.215,0.078,0.748
14,0.676,0.684,0.097,0.853,0.024,0.88,0.213,0.897,0.234,0.172
5,0.312,0.887,0.398,0.144,0.244,0.603,0.896,0.58,0.458,0.781
10,0.341,0.13,0.849,0.757,0.848,0.322,0.126,0.175,0.579,0.788
15,0.424,0.943,0.18,0.921,0.444,0.72,0.253,0.27,0.401,0.043
11,0.391,0.558,0.863,0.402,0.952,0.008,0.313,0.12,0.2,0.859
3,0.178,0.653,0.981,0.162,0.149,0.152,0.111,0.89,0.114,0.244
0,0.038,0.004,0.436,0.118,0.676,0.616,0.779,0.342,0.678,0.994
4,0.038,0.291,0.959,0.519,0.686,0.297,0.949,0.87,0.104,0.613
15,0.746,0.656,0.935,0.768,0.857,0.594,0.478,0.245,0.359,0.647
14,0.719,0.684,0.389,0.895,0.064,0.489,0.273,0.213,0.897,0.434
5,0.948,0.211,0.457,0.177,0.888,0.485,0.198,0.442,0.781,0.485
13,0.674,0.715,0.266,0.787,0.239,0.677,0.285,0.482,0.153,0.952
2,0.128,0.044,0.101,0.338,0.265,0.742,0.901,0.546,0.265,0.959
13,0.38,0.485,0.008,0.66,0.305,0.8,0.513,0.7,0.732,0.303
7,0.055,0.104,0.088,0.65,0.683,0.992,0.073,0.128,0.941,0.097
12,0.945,0.549,0.246,0.294,0.73,0.168,0.989,0.26,0.921,0.935
11,0.114,0.943,0.877,0.993,0.217,0.906,0.197,0.741,0.041,0.7
3,0.402,0.674,0.66,0.06,0.063,0.153,0.42,0.398,0.187,0.642
2,0.239,0.516,0.679,0.322,0.541,0.527,0.548,0.821,0.324,0.637
11,0.331,0.473,0.557,0.903,0.547,0.125,0.457,0.034,0.467,0.374
11,0.68,0.999,0.528,0.874,0.044,0.707,0.201,0.541,0.987,0.795
9,0.932,0.894,0.929,0.247,0.855,0.111,0.825,0.706,0.308,0.607
4,0.179,0.345,0.66,0.743,0.449,0.749,0.245,0.998,0.188,0.599
7,0.699,0.4,0.23,0.151,0.787,0.611,0.054,0.497,0.617,0.064
